il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,PETROL İŞ,Arif Dağlar Parkı,29.17914,40.8993
İSTANBUL,Kartal,PETROL İŞ,Atalar Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.17587,40.89473
İSTANBUL,Kartal,PETROL İŞ,Cemal Süreyya Parkı,29.17868,40.89585
İSTANBUL,Kartal,PETROL İŞ,Kartal Atlas Spor Kulübü Halı Sahaları,29.17778,40.90056
İSTANBUL,Kartal,PETROL İŞ,Kartal Borsa İstanbul İmam Hatip Ortaokulu Bahçesi,29.17734,40.89543
İSTANBUL,Kartal,PETROL İŞ,Kartallı Kazım Meydanı,29.18577,40.89677
İSTANBUL,Kartal,PETROL İŞ,Kumru Parkı,29.17983,40.9003
İSTANBUL,Kartal,PETROL İŞ,Menekşe Parkı,29.17958,40.89438
İSTANBUL,Kartal,PETROL İŞ,Mevlana Cami Bahçesi,29.17774,40.89337
İSTANBUL,Kartal,PETROL İŞ,Süleyman Demirel Anadolu Lisesi Bahçesi,29.Zeytinburnu6,40.89848
İSTANBUL,Kartal,PETROL İŞ,Şehit Öğretmen Hüseyin Ağırman Lisesi Bahçesi,29.17735,40.89391
İSTANBUL,Kartal,PETROL İŞ,Teğmen Burak Evigen İlköğretim Okulu Bahçesi,29.17965,40.89617
İSTANBUL,Kartal,PETROL İŞ,Yavuz Selim İlköğretim Okulu Bahçesi,29.18065,40.89683
İSTANBUL,Kartal,PETROL İŞ,Yavuz Selim Parkı,29.18242,40.89666
İSTANBUL,Kartal,PETROL İŞ,Zambak Parkı,29.18131,40.8936
