il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,SOĞANLIK YENİ,Arıcılar Parkı,29.19725,40.9199
İSTANBUL,Kartal,SOĞANLIK YENİ,Burak Bora Anadolu Lisesi Bahçesi,29.19314,40.91521
İSTANBUL,Kartal,SOĞANLIK YENİ,Burak Bora Anadolu Lisesi Karşısı Hamidiye Su ve İspark Alanı,29.19254,40.91376
İSTANBUL,Kartal,SOĞANLIK YENİ,Genç Osman Parkı,29.19949,40.91459
İSTANBUL,Kartal,SOĞANLIK YENİ,Halis Uzun Parkı,29.18708,40.92041
İSTANBUL,Kartal,SOĞANLIK YENİ,Mustafa Karaoğlu Parkı,29.1923,40.91795
İSTANBUL,Kartal,SOĞANLIK YENİ,Peyami Sefa Sokak Okul Bahçesi,29.19454,40.91915
İSTANBUL,Kartal,SOĞANLIK YENİ,Soğanlık Parkı  (Musa Eroğlu Parkı),29.19564,40.91278
İSTANBUL,Kartal,SOĞANLIK YENİ,Soğanlık Şehit Oktay Karakelle İmam Hatip Ortaokulu Bahçesi,29.19878,40.91349
İSTANBUL,Kartal,SOĞANLIK YENİ,Şehit Erdal Engin Parkı,29.19915,40.91799
İSTANBUL,Kartal,SOĞANLIK YENİ,Şehit Selahattin Turgut Parkı,29.19949,40.9156
İSTANBUL,Kartal,SOĞANLIK YENİ,Türkcell Yanı Spor Alanı,29.17916,40.9189
İSTANBUL,Kartal,SOĞANLIK YENİ,Yahya Kemal Caddesi Yanı Parkı,29.19316,40.91773
İSTANBUL,Kartal,SOĞANLIK YENİ,Yahya Kemal&Atatürk Cad. Yanı Parkı,29.19491,40.91696
