il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,UĞUR MUMCU,Adnan Kahveci Cami Bahçesi,29.21561,40.93562
İSTANBUL,Kartal,UĞUR MUMCU,Adnan Kahveci Parkı,29.2184,40.93809
İSTANBUL,Kartal,UĞUR MUMCU,Akşemsettin Parkı,29.21594,40.93628
İSTANBUL,Kartal,UĞUR MUMCU,Eyyüp Genç İlköğretim Okulu Bahçesi,29.2127,40.93725
İSTANBUL,Kartal,UĞUR MUMCU,Fatih Sultan Mehmet Parkı,29.21779,40.93379
İSTANBUL,Kartal,UĞUR MUMCU,Gaziler Cami Bahçesi,29.20911,40.92463
İSTANBUL,Kartal,UĞUR MUMCU,Hacı Hatice Bayraktar Lisesi Bahçesi,29.21651,40.93128
İSTANBUL,Kartal,UĞUR MUMCU,Hacı Hatice Bayraktar Lisesi Karşısı Yeşil Alan,29.21634,40.93037
İSTANBUL,Kartal,UĞUR MUMCU,Ihlamur Sokak Parkı Yanı,29.21248,40.92682
İSTANBUL,Kartal,UĞUR MUMCU,Kartal Milli Eğitim Vakfı Ortaokulu Bahçesi,29.21635,40.93226
İSTANBUL,Kartal,UĞUR MUMCU,Leylak Sokak Yanı Parkı,29.22045,40.92975
İSTANBUL,Kartal,UĞUR MUMCU,Özel Elif Deniz Anaokulu Önü,29.21158,40.92933
İSTANBUL,Kartal,UĞUR MUMCU,Şehit Gaffar Okan Parkı,29.21077,40.93448
İSTANBUL,Kartal,UĞUR MUMCU,Şelale Parkı,29.21314,40.93498
İSTANBUL,Kartal,UĞUR MUMCU,Şeyh Şamil Parkı,29.20842,40.93046
İSTANBUL,Kartal,UĞUR MUMCU,Tavşantepe Parkı,29.21174,40.9394
İSTANBUL,Kartal,UĞUR MUMCU,Uğur Mumcu Yunus Emre Cami Bahçesi,29.21419,40.92895
İSTANBUL,Kartal,UĞUR MUMCU,Vali Erol Çakır Ticaret Meslek Lisesi Bahçesi,29.21059,40.931
İSTANBUL,Kartal,UĞUR MUMCU,Yarenler Durağı Parkı,29.20966,40.92698
İSTANBUL,Kartal,UĞUR MUMCU,Yunus Emre Parkı 2,29.21864,40.92999
