il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,YAKACIK ÇARŞI,Bayram Demirkol Parkı,29.22591,40.91572
İSTANBUL,Kartal,YAKACIK ÇARŞI,Ceyhan Parkı,29.21933,40.91599
İSTANBUL,Kartal,YAKACIK ÇARŞI,Çam Parkı,29.21861,40.91525
İSTANBUL,Kartal,YAKACIK ÇARŞI,Hasan Paşa İlköğretim Okulu Bahçesi,29.22409,40.91883
İSTANBUL,Kartal,YAKACIK ÇARŞI,Hoca Fuat Efendi Parkı,29.21332,40.91552
İSTANBUL,Kartal,YAKACIK ÇARŞI,Manolya Parkı,29.21693,40.91775
İSTANBUL,Kartal,YAKACIK ÇARŞI,Meydan,29.22532,40.91867
İSTANBUL,Kartal,YAKACIK ÇARŞI,Şehit Ayhan Sarılı Parkı,29.21386,40.9176
İSTANBUL,Kartal,YAKACIK ÇARŞI,Tepe Parkı,29.23063,40.92136
İSTANBUL,Kartal,YAKACIK ÇARŞI,Yakacık Lisesi Bahçesi,29.22218,40.91547
