il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,GÜRSEL,Şehitler Parkı,28.9719,41.071
İSTANBUL,Kağıthane,GÜRSEL,Yunus Emre Parkı,28.97605,41.06924
İSTANBUL,Kağıthane,GÜRSEL,Manolya Parkı,28.97774,41.06989
İSTANBUL,Kağıthane,GÜRSEL,Sarp Parkı (Turna Parkı),28.97393,41.07551
İSTANBUL,Kağıthane,GÜRSEL,Mahmut Özdemir Parkı,28.97131,41.07527
İSTANBUL,Kağıthane,GÜRSEL,Eren Parkı,28.9735,41.0729
İSTANBUL,Kağıthane,GÜRSEL,Fasıl Sokak Parkı,28.96879,41.07117
İSTANBUL,Kağıthane,GÜRSEL,Dumlupınar Parkı,28.96947,41.07452
İSTANBUL,Kağıthane,GÜRSEL,Ahmet Buhan AİHL,28.97514,41.07084
İSTANBUL,Kağıthane,GÜRSEL,Gürsel Ortaokulu,28.97269,41.07151
İSTANBUL,Kağıthane,GÜRSEL,Osman Gazi İ.O,28.9756,41.07044
İSTANBUL,Kağıthane,GÜRSEL,İHKİB Mesleki Ve Teknik Anadolu Lisesi,28.97057,41.06835
İSTANBUL,Kağıthane,GÜRSEL,Kuruçay Parkı (Huzur Camii Önü),28.96923,41.06936
İSTANBUL,Kağıthane,GÜRSEL,Cevdet Şamıkoğlu İlkokulu,28.97057,41.06471
