il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,HAMİDİYE,Pazaryeri Parkı,28.9703,41.09485
İSTANBUL,Kağıthane,HAMİDİYE,Aziziye Parkı,28.97323,41.09717
İSTANBUL,Kağıthane,HAMİDİYE,Akasya Parkı,28.97504,41.09472
İSTANBUL,Kağıthane,HAMİDİYE,Furkan Tüzüner Parkı,28.97961,41.0908
İSTANBUL,Kağıthane,HAMİDİYE,Osman Söyler Parkı,28.97434,41.09239
İSTANBUL,Kağıthane,HAMİDİYE,Safa Parkı,28.97837,41.09096
İSTANBUL,Kağıthane,HAMİDİYE,Onur Sokak Parkı,28.9742,41.09048
İSTANBUL,Kağıthane,HAMİDİYE,Sevgi Sokak Üstü Parkı,28.97621,41.08821
İSTANBUL,Kağıthane,HAMİDİYE,Hamidiye Akşemsettin Parkı,28.9781,41.09707
İSTANBUL,Kağıthane,HAMİDİYE,A.Fethi Okyar Parkı (Hamidiye Sosyal Tesisleri),28.97705,41.09093
İSTANBUL,Kağıthane,HAMİDİYE,Hobi Bahçesi,28.96827,41.09614
İSTANBUL,Kağıthane,HAMİDİYE,Cendere Sahil Parkı,28.98083,41.08837
İSTANBUL,Kağıthane,HAMİDİYE,Cendere Parkı,28.97988,41.0862
İSTANBUL,Kağıthane,HAMİDİYE,Kaymak Sokak Parkı,28.9676,41.09482
İSTANBUL,Kağıthane,HAMİDİYE,Fatih Parkı,28.97884,41.09399
İSTANBUL,Kağıthane,HAMİDİYE,Hamidiye Anadolu Parkı,28.98091,41.09306
İSTANBUL,Kağıthane,HAMİDİYE,Seyitonbaşı Parkı Karşısı Yeşil Alan,28.97682,41.09748
İSTANBUL,Kağıthane,HAMİDİYE,Cemil Meriç İlkokulu,28.98096,41.09065
İSTANBUL,Kağıthane,HAMİDİYE,Çağdaş Yaşam ve Eşref Sadullah Kıray Anaokulu,28.97192,41.09542
İSTANBUL,Kağıthane,HAMİDİYE,Ekrem Cevahir Anadolu İmam Hatip Lisesi,28.97393,41.09192
İSTANBUL,Kağıthane,HAMİDİYE,İsmail Erez İlkokulu,28.97656,41.08939
İSTANBUL,Kağıthane,HAMİDİYE,Hamidiye İmam Hatip Ortaokulu,28.97512,41.09604
İSTANBUL,Kağıthane,HAMİDİYE,İstanbul Vali Hayri Kozakçıoğlu Mesleki ve Teknik Anadolu Lisesi,28.97705,41.09164
İSTANBUL,Kağıthane,HAMİDİYE,Hasdal Ortaokulu,28.97228,41.09511
İSTANBUL,Kağıthane,HAMİDİYE,İmece İlkokulu,28.9685,41.09424
