il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Gülibrişim Parkı,28.95429,41.06304
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Anadolu Parkı,28.96104,41.05435
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,M.Akif Ersoy Mahalle Konağı Önü,28.95511,41.05879
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Tülin Manço Parkı,28.96095,41.0533
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,İTO Ticaret Lisesi Parkı,28.95969,41.05437
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,İmrahor Parkı,28.95141,41.06273
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Cemal Kamacı Spor Kompleksi Bahçesi,28.95801,41.05373
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Mehmet Akif Futbol Sahası ve Çevresi,28.95629,41.06159
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Mehmet Akif Ersoy Ortaokulu,28.95252,41.06092
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Kağıthane İTO MTAL,28.96063,41.05356
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Tülin Manço İlkokulu,28.95966,41.05398
İSTANBUL,Kağıthane,MEHMET AKİF ERSOY,Mahmut Şevket Paşa Parkı,28.96103,41.05435
