il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,MERKEZ,Muammer Aksoy Parkı,28.96545,41.08526
İSTANBUL,Kağıthane,MERKEZ,Hasbahçe Parkı,28.96656,41.07481
İSTANBUL,Kağıthane,MERKEZ,Şehit Polis Tergülen Parkı,28.96971,41.08318
İSTANBUL,Kağıthane,MERKEZ,Bahri Beşler Parkı,28.97077,41.08597
İSTANBUL,Kağıthane,MERKEZ,M. Akif Ersoy Parkı,28.96718,41.08322
İSTANBUL,Kağıthane,MERKEZ,Fatih Sultan Mehmet Parkı,28.97345,41.0879
İSTANBUL,Kağıthane,MERKEZ,Messan Parkı,28.9777,41.08461
İSTANBUL,Kağıthane,MERKEZ,Muhsin Yazıcıoğlu Parkı,28.97434,41.08266
İSTANBUL,Kağıthane,MERKEZ,Lalezar Parkı,28.97137,41.07775
İSTANBUL,Kağıthane,MERKEZ,Mermerciler Parkı,28.95082,41.06328
İSTANBUL,Kağıthane,MERKEZ,Havuzlar Parkı,28.96791,41.0881
İSTANBUL,Kağıthane,MERKEZ,Ayışığı Parkı,28.97024,41.08731
İSTANBUL,Kağıthane,MERKEZ,Somuncu Baba Parkı,28.97493,41.08124
İSTANBUL,Kağıthane,MERKEZ,Zafer Parkı,28.97978,41.08225
İSTANBUL,Kağıthane,MERKEZ,Mermerciler Parkı Yanı Yeşil Alanı,28.95252,41.0637
İSTANBUL,Kağıthane,MERKEZ,Hasbahçe 2.Kısım (21 ve 29 numaralar karşısı),28.96726,41.07329
İSTANBUL,Kağıthane,MERKEZ,Osmanlı Milli Arşiv Karşısı Mesire Alanı,28.961,41.06779
İSTANBUL,Kağıthane,MERKEZ,Mermerciler Parkı Karşısı,28.95259,41.06471
İSTANBUL,Kağıthane,MERKEZ,Axis ve İSKİ Bahçe Otoparkı,28.98184,41.08571
İSTANBUL,Kağıthane,MERKEZ,Kağıthane Meydanı,28.9719,41.08047
İSTANBUL,Kağıthane,MERKEZ,Sadabat Cami Çevresi Mesire Alanı,28.95829,41.06796
İSTANBUL,Kağıthane,MERKEZ,Ali Fuat Cebesoy Ortaokulu,28.97108,41.08436
İSTANBUL,Kağıthane,MERKEZ,Kağıthane MTAL,28.96556,41.08306
İSTANBUL,Kağıthane,MERKEZ,Şeyh Şamil İHO,28.97477,41.08431
İSTANBUL,Kağıthane,MERKEZ,Ferit Aysan Çağdaş Yaşam İlkokulu,28.97166,41.08767
İSTANBUL,Kağıthane,MERKEZ,Şehit Hamza Ece İlkokulu,28.97052,41.08122
