il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,SEYRANTEPE,Lale Parkı,28.98646,41.093
İSTANBUL,Kağıthane,SEYRANTEPE,700. Yıl Parkı,28.98912,41.09707
İSTANBUL,Kağıthane,SEYRANTEPE,Açelya Parkı,28.99044,41.09609
İSTANBUL,Kağıthane,SEYRANTEPE,Seyrantepe Anadolu Parkı,28.99483,41.09735
İSTANBUL,Kağıthane,SEYRANTEPE,Hayat Parkı,28.98329,41.09707
İSTANBUL,Kağıthane,SEYRANTEPE,Seyrantepe Korusu,28.98628,41.09067
İSTANBUL,Kağıthane,SEYRANTEPE,Çeliktepe Spor Kulubü Sahası,28.98724,41.09675
İSTANBUL,Kağıthane,SEYRANTEPE,Atatürk İlkokulu,28.98592,41.09742
İSTANBUL,Kağıthane,SEYRANTEPE,Dr Sadık Ahmet Anadolu Lisesi,28.99211,41.09795
İSTANBUL,Kağıthane,SEYRANTEPE,Kemal Halil Tanır Bilgi Teknoloji İÖO Bahçesi,28.999,41.09939
İSTANBUL,Kağıthane,SEYRANTEPE,Minibüs Son Durağı,28.98506,41.09941
