il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,SULTAN SELİM,Yaşar Doğu Parkı,29.00235,41.09103
İSTANBUL,Kağıthane,SULTAN SELİM,Sultan Selim Kültür Merkezi Üstü Parkı,28.9991,41.08924
İSTANBUL,Kağıthane,SULTAN SELİM,Kızıl Elma Parkı,28.99382,41.09506
İSTANBUL,Kağıthane,SULTAN SELİM,Barbaros Cad. Bayraktar Sokak Parkı,28.99031,41.09309
İSTANBUL,Kağıthane,SULTAN SELİM,Tuna Caddesi Parkı (Mezarlık Altı),28.998,41.08741
İSTANBUL,Kağıthane,SULTAN SELİM,Polis Karakolu Yanı,28.99866,41.09163
İSTANBUL,Kağıthane,SULTAN SELİM,Profilo Barış İmam Hatip Ortaokulu,29.00181,41.09168
İSTANBUL,Kağıthane,SULTAN SELİM,Kağıthane İHOO,28.99666,41.08983
İSTANBUL,Kağıthane,SULTAN SELİM,Mehmet Rıfat Yalman İlkokulu,28.99693,41.09279
İSTANBUL,Kağıthane,SULTAN SELİM,Yasar Doğu İlkokulu,29.00173,41.09095
