il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,TALATPAŞA,İnce Bayır Parkı,28.96073,41.06224
İSTANBUL,Kağıthane,TALATPAŞA,Molla Gürani Parkı,28.96258,41.06324
İSTANBUL,Kağıthane,TALATPAŞA,Çiğdem Parkı,28.96861,41.0677
İSTANBUL,Kağıthane,TALATPAŞA,Akşemsettin Parkı,28.96621,41.06595
İSTANBUL,Kağıthane,TALATPAŞA,57. Alay Parkı,28.95925,41.05726
İSTANBUL,Kağıthane,TALATPAŞA,Gürsel Futbol Sahası ve Çevresi,28.96844,41.06706
İSTANBUL,Kağıthane,TALATPAŞA,Fındıklı İlkokulu,28.96273,41.06532
İSTANBUL,Kağıthane,TALATPAŞA,Hasbahçe İHOO,28.96865,41.06851
İSTANBUL,Kağıthane,TALATPAŞA,Osman Tevfik Yalman Ortaokulu,28.96482,41.06263
İSTANBUL,Kağıthane,TALATPAŞA,Günebakan İlkokulu,28.95997,41.06092
