il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kağıthane,ÇAĞLAYAN,Akça Parkı,28.9863,41.07886
İSTANBUL,Kağıthane,ÇAĞLAYAN,Çağlayan Parkı,28.97779,41.07713
İSTANBUL,Kağıthane,ÇAĞLAYAN,Seçkinler Parkı,28.97749,41.07914
İSTANBUL,Kağıthane,ÇAĞLAYAN,Fazilet Parkı,28.98131,41.082
İSTANBUL,Kağıthane,ÇAĞLAYAN,Çağlayan Taşocağı Parkı,28.98534,41.07733
İSTANBUL,Kağıthane,ÇAĞLAYAN,Yavuz Selim Parkı,28.97868,41.08192
İSTANBUL,Kağıthane,ÇAĞLAYAN,İETT Kağıthane Peronu ve Havalimanı Metrosu,28.97595,41.08009
İSTANBUL,Kağıthane,ÇAĞLAYAN,Okul Cad. Sarmaşık Parkı Karşısı Yeşil Alan,28.98665,41.08007
İSTANBUL,Kağıthane,ÇAĞLAYAN,Fevzi Çakmak Parkı (Çağlayan),28.9861,41.08112
İSTANBUL,Kağıthane,ÇAĞLAYAN,Kağıthane Anadolu Lisesi,28.98358,41.08284
İSTANBUL,Kağıthane,ÇAĞLAYAN,Profilo MTAL,28.97672,41.08122
İSTANBUL,Kağıthane,ÇAĞLAYAN,Zuhal Ortaokulu,28.9822,41.08047
