il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Mahalle Muhtarlığı Bahçesi,28.79273,41.04911
İSTANBUL,Küçükçekmece,ATAKENT,Hz.Ali Cami yanı park alanı (213 Sokak) Zülfikar Parkı,28.78845,41.04282
İSTANBUL,Küçükçekmece,ATAKENT,Selçuklu Parkı  3.Kısım ve Halkalı Sosyal Tesisleri,28.79339,41.04517
İSTANBUL,Küçükçekmece,ATAKENT,Selçuklu Parkı 2.Kısım-Macera Parkı,28.79489,41.04506
İSTANBUL,Küçükçekmece,ATAKENT,Şehit Yılmaz Özdemir Parkı,28.78475,41.04413
İSTANBUL,Küçükçekmece,ATAKENT,Şehit Piyade Er Abdurrahman Doğan Parkı,28.78864,41.05563
İSTANBUL,Küçükçekmece,ATAKENT,Trafik Eğitim Parkı,28.78799,41.04863
İSTANBUL,Küçükçekmece,ATAKENT,Arena Park AVM  Bahçesi,28.79125,41.05357
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Anadolu Lisesi Bahçesi,28.77333,41.05204
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Güzel Sanatlar Lisesi Bahçesi,28.77342,41.05073
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Hz. Hamza Camii Bahçesi,28.77645,41.0574
İSTANBUL,Küçükçekmece,ATAKENT,Atakent İmkb Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.77387,41.05382
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Kuşlar Tepesi Parkı,28.78968,41.05712
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Menekşe Evleri Yeşil Alan,28.77055,41.03833
İSTANBUL,Küçükçekmece,ATAKENT,Atakent Özel Eğitim Uygulama Okulu II. Kademe Bahçesi,28.77367,41.04914
İSTANBUL,Küçükçekmece,ATAKENT,Bilfen Halkalı İlköğretim Okulu Bahçesi,28.78423,41.05598
İSTANBUL,Küçükçekmece,ATAKENT,Cemil Mutlu Ortaokulu Bahçesi,28.78318,41.04026
İSTANBUL,Küçükçekmece,ATAKENT,Çocuk Parkı,28.79344,41.0465
İSTANBUL,Küçükçekmece,ATAKENT,Fahreddin Kerim Gökay Okul Alanı Bahçesi,28.75789,41.0528
İSTANBUL,Küçükçekmece,ATAKENT,Fatih Sultan Mehmet Ortaokulu Bahçesi,28.77723,41.05794
İSTANBUL,Küçükçekmece,ATAKENT,Gazi Anadolu Lisesi ve Spor Salonu,28.78725,41.05629
İSTANBUL,Küçükçekmece,ATAKENT,Gelincik Anaokulu Bahçesi,28.78802,41.05273
İSTANBUL,Küçükçekmece,ATAKENT,Halkalı Cumhuriyet İlkokulu Bahçesi,28.78553,41.05088
İSTANBUL,Küçükçekmece,ATAKENT,Halkalı Doğa Okulları Bahçesi,28.794,41.04387
İSTANBUL,Küçükçekmece,ATAKENT,Halkalı Mesleki Ve Teknik Anadolu Lisesi Bahçesi,28.79516,41.04391
İSTANBUL,Küçükçekmece,ATAKENT,Halkalı Toplu Konut Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.78673,41.05483
İSTANBUL,Küçükçekmece,ATAKENT,İmam Buhari İmam Hatip Ortaokulu Bahçesi,28.78261,41.04058
İSTANBUL,Küçükçekmece,ATAKENT,Kuyumculuk Teknolojisi Mesleki Ve Teknik Anadolu Lisesi Bahçesi,28.75834,41.05153
İSTANBUL,Küçükçekmece,ATAKENT,Küçükçekmece Fen Lisesi Bahçesi,28.77314,41.05281
İSTANBUL,Küçükçekmece,ATAKENT,Küçükçekmece İmkb Yavuz Sultan Selim Ortaokulu Bahçesi,28.77945,41.05465
İSTANBUL,Küçükçekmece,ATAKENT,Mehmet Akif Ersoy İlkokulu Bahçesi,28.78419,41.05675
İSTANBUL,Küçükçekmece,ATAKENT,Melikşah Ortaokulu Bahçesi,28.77068,41.04387
İSTANBUL,Küçükçekmece,ATAKENT,Menekşe Parkı,28.77086,41.0405
İSTANBUL,Küçükçekmece,ATAKENT,Orhan Cemal Fersoy Anadolu Lisesi Bahçesi,28.80138,41.04557
İSTANBUL,Küçükçekmece,ATAKENT,Ömer Çetinkaya Camii Bahçesi,28.78266,41.05591
İSTANBUL,Küçükçekmece,ATAKENT,Pagev Plastik Teknolojisi Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.7917,41.04119
İSTANBUL,Küçükçekmece,ATAKENT,Papatya Anaokulu Bahçesi,28.79004,41.04935
İSTANBUL,Küçükçekmece,ATAKENT,Prof.Dr. Sabahattin Zaim Anadolu Lisesi Bahçesi,28.77529,41.05365
İSTANBUL,Küçükçekmece,ATAKENT,Sardunya Anaokulu Bahçesi,28.78876,41.05794
İSTANBUL,Küçükçekmece,ATAKENT,Spor Alanları,28.77948,41.04572
İSTANBUL,Küçükçekmece,ATAKENT,Sultan Alparslan İlkokulu Bahçesi,28.77057,41.04276
İSTANBUL,Küçükçekmece,ATAKENT,Toki Akasya Anaokulu Bahçesi,28.78255,41.0414
İSTANBUL,Küçükçekmece,ATAKENT,TOKİ Atakent Mesleki ve Teknik Anadolu Lisesi Arkası (Hobi Bahçesi),28.77958,41.05575
İSTANBUL,Küçükçekmece,ATAKENT,TOKİ Atakent Spor Lisesi ve Spor Salonu Bahçesi,28.77776,41.0568
İSTANBUL,Küçükçekmece,ATAKENT,Toki Erdem Beyazıt Ortaokulu Bahçesi,28.77782,41.04612
İSTANBUL,Küçükçekmece,ATAKENT,TOKİ Fulya Anaokulu Bahçesi,28.77186,41.03514
İSTANBUL,Küçükçekmece,ATAKENT,Toki Güneşparkevleri Kız Anadolu İmam Hatip Lisesi ve Spor Salonu Bahçesi,28.78865,41.04458
İSTANBUL,Küçükçekmece,ATAKENT,Toki Halkalı Anadolu İmam Hatip Lisesi ve Spor Salonu Bahçesi,28.79351,41.0403
İSTANBUL,Küçükçekmece,ATAKENT,Toki İlkokulu Bahçesi,28.78276,41.04779
İSTANBUL,Küçükçekmece,ATAKENT,Toki Kardelen Anaokulu Bahçesi,28.7872,41.04067
İSTANBUL,Küçükçekmece,ATAKENT,Toki Nilüfer Anaokulu Bahçesi,28.79044,41.04277
İSTANBUL,Küçükçekmece,ATAKENT,Toki Şehit Efkan Kıran İlkokulu ve Spor Salonu Bahçesi,28.78997,41.04409
İSTANBUL,Küçükçekmece,ATAKENT,Toki Şehit Er Yılmaz Özdemir İlkokulu ve Spor Salonu Bahçesi,28.77397,41.0368
İSTANBUL,Küçükçekmece,ATAKENT,Hasanoğlu Deresi ve Kanuni Sultan Süleyman Parkı,28.75765,41.04907
İSTANBUL,Küçükçekmece,ATAKENT,Selçuklu Parkı 1.Kısım ve Selçuklu Sosyal Tesisleri Bahçesi,28.79709,41.04497
İSTANBUL,Küçükçekmece,ATAKENT,Halkalı Güneş Ortaokulu Bahçesi,28.8028,41.04395
