il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,CENNET,Antikalar Parkı,28.77794,40.98793
İSTANBUL,Küçükçekmece,CENNET,Gaffar Okan Parkı,28.78387,40.98789
İSTANBUL,Küçükçekmece,CENNET,Şair Nedim Parkı,28.78239,40.99736
İSTANBUL,Küçükçekmece,CENNET,Behiye Selim Pars Ortaokulu Bahçesi,28.78022,40.9944
İSTANBUL,Küçükçekmece,CENNET,Belediye Pazar Yeri,28.78325,40.99013
İSTANBUL,Küçükçekmece,CENNET,Cennet Kültür ve Sanat Merkezi Önü Otopark ve Halı Saha,28.78347,40.99169
İSTANBUL,Küçükçekmece,CENNET,Çok Amaçlı Spor Alanı ve Sit Arazisi,28.7773,40.9874
İSTANBUL,Küçükçekmece,CENNET,Dr. İsmet Birgül İlkokulu Bahçesi,28.78347,40.99124
İSTANBUL,Küçükçekmece,CENNET,Küçükçekmece İmkb Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.77878,40.98481
İSTANBUL,Küçükçekmece,CENNET,Marmara Kız Anadolu İmam Hatip Lisesi Bahçesi,28.77253,40.99119
İSTANBUL,Küçükçekmece,CENNET,Remzi Yurtsever İlkokulu Bahçesi,28.77306,40.99118
İSTANBUL,Küçükçekmece,CENNET,Yavuz Selim Anadolu İmam Hatip Lisesi ve Kanuni İmam Hatip Ortaokulu Bahçesi,28.78271,40.99135
İSTANBUL,Küçükçekmece,CENNET,Yeşilyuva Ortaokulu Bahçesi,28.77747,40.99155
