il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Halkalı İstasyon Caddesi Parkı,28.7781,41.0315
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Halkalı Çamlık Parkı,28.79072,41.03148
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Hayat Park,28.80055,41.0402
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Kenan Onuk Parkı,28.79368,41.03799
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Mehmet Akif Parkı,28.79179,41.03388
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Mehmetçik Parkı,28.79158,41.03264
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Nayman 545-546 Parsel Bilgi Evi ve Parkı,28.78921,41.03773
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Nurettin Şen Parkı,28.78323,41.03555
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Şehit Piyade Uzman Çavuş Mustafa Uysal Parkı,28.79611,41.0299
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Şehit Piyade Selçuk Gürdal Parkı (Eski Yusuf Kardeş),28.79403,41.03296
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Yusuf Köksal Parkı,28.79619,41.03267
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Büyük Halkalı İlkokulu Bahçesi,28.7906,41.03533
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Hacı Bektaş-ı Veli Anadolu Lisesi ve Yurt Binası Bahçesi,28.79694,41.04058
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Halkalı Çamlık Piknik Alanı,28.78972,41.03402
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Halkalı İbadullah Cami,28.79737,41.03783
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Halkalı İmkb Çok Programlı Anadolu Lisesi ve Anasınıfı Bahçesi,28.79858,41.0298
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,İstanbul Sabahattin Zaim Üniversitesi,28.78659,41.03171
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Küçükçekmece Özel Eğitim İş Uygulama Merkezi Okulu (III. Kademe) Bahçesi,28.79728,41.04168
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Küçükçekmece Tasev Mtal ve Yurt Binası ve Eklentiler Bahçesi,28.80184,41.0312
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Orhan Saral İlkokulu Bahçesi,28.80404,41.04249
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Öğretmen Yusuf Kardeş İlkokulu  Bahçesi,28.79496,41.03218
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Sultan Abdulhamit İmam Hatip Ortaokulu ve Spor Salonu Bahçesi,28.79847,41.03653
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Sultan Reşat Ortaokulu Bahçesi,28.79975,41.0332
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Şehit Er Müslüm Zengin İlköğretim Okulu Bahçesi,28.80132,41.0302
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Tüccar Ve Sanayiciler Derneği İlkokulu Bahçesi,28.79655,41.04153
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Yahya Kemal Bayatlı Spor Kompleksi,28.80238,41.02997
İSTANBUL,Küçükçekmece,HALKALI MERKEZ,Zirai Karantina Alanı Bahçesi,28.77933,41.03137
