il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,TEVFİKBEY,20 Temmuz Parkı,28.80256,41.00886
İSTANBUL,Küçükçekmece,TEVFİKBEY,75.Yıl Cumhuriyet,28.80106,41.00931
İSTANBUL,Küçükçekmece,TEVFİKBEY,Samipaşa Parkı,28.79987,41.01478
İSTANBUL,Küçükçekmece,TEVFİKBEY,Sefaköy Parkı,28.79836,41.01282
İSTANBUL,Küçükçekmece,TEVFİKBEY,Şehit Rafet Uçankuş Parkı,28.80264,41.01269
İSTANBUL,Küçükçekmece,TEVFİKBEY,20 Temmuz Parkı Karşısı Boş Allan,28.80387,41.00941
İSTANBUL,Küçükçekmece,TEVFİKBEY,Ali Demir Cd. Boş Arazi,28.80194,41.00596
İSTANBUL,Küçükçekmece,TEVFİKBEY,Çimen Sitesi Yanı,28.80591,41.01075
İSTANBUL,Küçükçekmece,TEVFİKBEY,Kartaltepe Ortaokulu ve Anasınıfı Bahçesi,28.80518,41.00619
İSTANBUL,Küçükçekmece,TEVFİKBEY,Mareşal Fevzi Çakmak İlkokulu ve Küçükçekmece Bilim Sanat Merkezi Bahçesi,28.80665,41.00972
İSTANBUL,Küçükçekmece,TEVFİKBEY,Muhtar İnan Spor Kompleksi,28.79618,41.01223
İSTANBUL,Küçükçekmece,TEVFİKBEY,Mustafa Eravutmuş Ortaokulu,28.79786,41.0102
İSTANBUL,Küçükçekmece,TEVFİKBEY,Osman Zeki Üngör İlkokulu ve Spor Salonu Bahçesi,28.79569,41.01601
İSTANBUL,Küçükçekmece,TEVFİKBEY,Penyelüks Hasan Gürel İlkokulu Bahçesi,28.80731,41.00706
İSTANBUL,Küçükçekmece,TEVFİKBEY,Şehit Binbaşı Bedir Karabıyık ÇPL Bahçesi,28.80423,41.0134
İSTANBUL,Küçükçekmece,TEVFİKBEY,Şehit Binbaşı Bedir Karabıyık İlkokulu Bahçesi,28.8016,41.01143
