il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,İNÖNÜ,80.Yıl Parkı,28.79935,41.02797
İSTANBUL,Küçükçekmece,İNÖNÜ,İnönü Muhtarlık ve Karakol  Çevresi,28.79694,41.02258
İSTANBUL,Küçükçekmece,İNÖNÜ,İnönü Parkı,28.79924,41.01969
İSTANBUL,Küçükçekmece,İNÖNÜ,Şehit Piyade Er Lokman Eker Parkı,28.79837,41.02621
İSTANBUL,Küçükçekmece,İNÖNÜ,Şht.Pyd.Mehmet Bozkuş Parkı,28.80376,41.02428
İSTANBUL,Küçükçekmece,İNÖNÜ,75.Yıl Sefaköy İmam Hatip Ortaokulu Bahçesi,28.80317,41.02691
İSTANBUL,Küçükçekmece,İNÖNÜ,Alaattin Keykubat İlkokulu Bahçesi,28.80011,41.01706
İSTANBUL,Küçükçekmece,İNÖNÜ,Dr. Hulusi Behçet Ortaokulu Bahçesi,28.79841,41.02572
İSTANBUL,Küçükçekmece,İNÖNÜ,Futbol Center Halı Saha,28.80217,41.02336
İSTANBUL,Küçükçekmece,İNÖNÜ,Hz. Ebubekir Cami ve Parkı,28.80338,41.01628
İSTANBUL,Küçükçekmece,İNÖNÜ,İnönü Mh. Gül Sk. Boş Arazi,28.8024,41.02116
İSTANBUL,Küçükçekmece,İNÖNÜ,İnönü Ortaokulu Bahçesi,28.79885,41.0176
İSTANBUL,Küçükçekmece,İNÖNÜ,Marakana Halısaha,28.80089,41.02677
İSTANBUL,Küçükçekmece,İNÖNÜ,Mustafa Barut Anadolu Lisesi Bahçesi,28.80314,41.02639
İSTANBUL,Küçükçekmece,İNÖNÜ,Nasrettin Hoca İlkokulu ve Ortaokulu Bahçesi,28.80534,41.02294
İSTANBUL,Küçükçekmece,İNÖNÜ,Nasrettin Hoca Ortaokulu Spor Salonu,28.80441,41.02307
İSTANBUL,Küçükçekmece,İNÖNÜ,Özgür Residence Arkası Halı Saha,28.80512,41.022
İSTANBUL,Küçükçekmece,İNÖNÜ,Saadet Abdik Cami Bahçesi,28.805,41.02135
İSTANBUL,Küçükçekmece,İNÖNÜ,Şehit Çavuş K.Demirel Parkı,28.79676,41.02329
İSTANBUL,Küçükçekmece,İNÖNÜ,Şehit Münür Alkan Ortaokulu Bahçesi,28.7985,41.01949
