il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Küçükçekmece,İSTASYON,Konutbirlik Parkı,28.76546,41.03412
İSTANBUL,Küçükçekmece,İSTASYON,Şehit Piyade Er Vedat Kutluca Parkı,28.76632,41.03048
İSTANBUL,Küçükçekmece,İSTASYON,Taştepe Atatürk Parkı,28.77194,41.02211
İSTANBUL,Küçükçekmece,İSTASYON,Ataturk Ortaokulu Bahçesi,28.77065,41.03244
İSTANBUL,Küçükçekmece,İSTASYON,Bezirganbahçe Medine Camii Karşısı Yeşil Alan,28.77239,41.02845
İSTANBUL,Küçükçekmece,İSTASYON,Birlik Halı Saha,28.76574,41.03156
İSTANBUL,Küçükçekmece,İSTASYON,Göktürk İlkokulu Bahçesi,28.77029,41.03021
İSTANBUL,Küçükçekmece,İSTASYON,Halkalı İstasyon Çamlık Alanı,28.76892,41.01971
İSTANBUL,Küçükçekmece,İSTASYON,Halkalı Yenidoğan Camii Bahçesi,28.77096,41.03084
İSTANBUL,Küçükçekmece,İSTASYON,Küçükçekmece Anadolu İmam Hatip Lisesi Bahçesi,28.77092,41.02429
İSTANBUL,Küçükçekmece,İSTASYON,Taştepe Ortaokulu Bahçesi,28.77281,41.02323
İSTANBUL,Küçükçekmece,İSTASYON,Toki Ertuğrul Gazi İlkokulu ve Spor Salonu,28.77189,41.02505
İSTANBUL,Küçükçekmece,İSTASYON,Toki Şehit Çağlar Canbaz İmam Hatip Ortaokulu ve Anasınıfı Bahçesi,28.76923,41.02439
İSTANBUL,Küçükçekmece,İSTASYON,Bezirganbahçe Parkı,28.77642,41.02906
