il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,ALTAYÇEŞME,Büyükşehir Parkı,29.13172,40.93944
İSTANBUL,Maltepe,ALTAYÇEŞME,Güvercinlik Parkı,29.12635,40.93458
İSTANBUL,Maltepe,ALTAYÇEŞME,Bomaç Sokak Parkı,29.12912,40.93567
İSTANBUL,Maltepe,ALTAYÇEŞME,Sanatçılar Parkı,29.13171,40.93606
İSTANBUL,Maltepe,ALTAYÇEŞME,Altayçeşme Spor Center,29.12871,40.9404
İSTANBUL,Maltepe,ALTAYÇEŞME,Maltepe Meydanı,29.13111,40.92514
İSTANBUL,Maltepe,ALTAYÇEŞME,Altayçeşme İlkokulu Bahçesi,29.1299,40.93611
İSTANBUL,Maltepe,ALTAYÇEŞME,Kazım Tunç İlkokulu Bahçesi,29.13381,40.92905
İSTANBUL,Maltepe,ALTAYÇEŞME,Mevlana Cami Bahçesi,29.Eyüp 5,40.92871
İSTANBUL,Maltepe,ALTAYÇEŞME,Organik Pazar Karşısı Yamaç,29.13234,40.93249
İSTANBUL,Maltepe,ALTAYÇEŞME,Osman Gazi İmam Hatip Ortaokulu Bahçesi,29.13245,40.93417
İSTANBUL,Maltepe,ALTAYÇEŞME,Prof. Abdullah Türkoğlu Ortaokulu Bahçesi,29.13197,40.93068
İSTANBUL,Maltepe,ALTAYÇEŞME,Prof. Dr. Bekir Topaloğlu İmam Hatip Ortaokulu Bahçesi,29.13247,40.93118
İSTANBUL,Maltepe,ALTAYÇEŞME,Samanyolu Parkı,29.1345,40.93369
İSTANBUL,Maltepe,ALTAYÇEŞME,Yalçın Kızılay Spor Kompleksi,29.12785,40.93852
