il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,AYDINEVLER,Cumhuriyet Parkı,29.12815,40.94828
İSTANBUL,Maltepe,AYDINEVLER,Altmışlılar Parkı,29.11876,40.95566
İSTANBUL,Maltepe,AYDINEVLER,Seren Sokak Parkı,29.1291,40.94976
İSTANBUL,Maltepe,AYDINEVLER,Aslanbey Parkı,29.1243,40.95068
İSTANBUL,Maltepe,AYDINEVLER,Cumhuriyet Parkı,29.12864,40.9494
İSTANBUL,Maltepe,AYDINEVLER,Küçükyalı Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.13005,40.95028
İSTANBUL,Maltepe,AYDINEVLER,Aydınevler Sağlık Ocağı Bahçesi,29.12907,40.94898
İSTANBUL,Maltepe,AYDINEVLER,Suzan Ahmet Yalkın İlkokulu Bahçesi,29.12627,40.94861
İSTANBUL,Maltepe,AYDINEVLER,Suzan Ahmet Yalkın Ortaokulu Bahçesi,29.12617,40.94773
İSTANBUL,Maltepe,AYDINEVLER,Şehit İlhan Varank Fen Lisesi Bahçesi,29.12714,40.95277
İSTANBUL,Maltepe,AYDINEVLER,Trafo Parkı,29.12314,40.95016
İSTANBUL,Maltepe,AYDINEVLER,Albay Niyazi Esen İlkokulu Bahçesi,29.11949,40.95652
