il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,BAĞLARBAŞI,Kar Sokak Parkı,29.14433,40.92667
İSTANBUL,Maltepe,BAĞLARBAŞI,Bağlarbaşı Mahallesi Pazar Yeri,29.139,40.92292
İSTANBUL,Maltepe,BAĞLARBAŞI,Gülyolu Parkı,29.13842,40.92445
İSTANBUL,Maltepe,BAĞLARBAŞI,Şehit Mücahit Parkı,29.14854,40.92597
İSTANBUL,Maltepe,BAĞLARBAŞI,Bağlarbaşı Otopark,29.13521,40.92084
İSTANBUL,Maltepe,BAĞLARBAŞI,Bağlarbaşı Lunaparkı,29.1356,40.92115
İSTANBUL,Maltepe,BAĞLARBAŞI,Ergenekon Sokak Boş Arazi-Okul Alanı,29.13698,40.92779
İSTANBUL,Maltepe,BAĞLARBAŞI,Karayolları Sitesi İçi Park,29.1455,40.92786
İSTANBUL,Maltepe,BAĞLARBAŞI,Maltepe Sgk Bahçesi,29.13939,40.93125
İSTANBUL,Maltepe,BAĞLARBAŞI,Refah Sokak Boş Arazi,29.14711,40.92708
İSTANBUL,Maltepe,BAĞLARBAŞI,Alaçam Sokak Parkı,29.14133,40.92536
İSTANBUL,Maltepe,BAĞLARBAŞI,Bağlarbaşı İlkokulu Bahçesi,29.1429,40.92805
İSTANBUL,Maltepe,BAĞLARBAŞI,E.C.A Elgin Kan Anadolu Lisesi Bahçesi,29.13615,40.92722
İSTANBUL,Maltepe,BAĞLARBAŞI,Feyzullah-Turgay Ciner Ortaokulu Bahçesi,29.13145,40.92205
İSTANBUL,Maltepe,BAĞLARBAŞI,Karacabey (70 Evler) Cami Bahçesi,29.14349,40.92866
İSTANBUL,Maltepe,BAĞLARBAŞI,Kırlangıç Sokak Parkı,29.13539,40.92658
İSTANBUL,Maltepe,BAĞLARBAŞI,Bağlarbaşı Muhtarlık Parkı,29.13513,40.92533
İSTANBUL,Maltepe,BAĞLARBAŞI,Tan Sokak Parkı,29.14097,40.92563
İSTANBUL,Maltepe,BAĞLARBAŞI,Ümitli Sokak Parkı,29.Kadıköy 1,40.92523
