il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,BAŞIBÜYÜK,Asude Sokak Parkı,29.14248,40.95889
İSTANBUL,Maltepe,BAŞIBÜYÜK,Şehit Yaşar Yeniören Parkı,29.14865,40.95752
İSTANBUL,Maltepe,BAŞIBÜYÜK,Atatürk Parkı,29.14286,40.95446
İSTANBUL,Maltepe,BAŞIBÜYÜK,Başıbüyük Yolu Piknik Alanı,29.14063,40.96774
İSTANBUL,Maltepe,BAŞIBÜYÜK,Gold Country Spor Tesisi,29.1432,40.96844
İSTANBUL,Maltepe,BAŞIBÜYÜK,Bölge Parkı 2,29.17244,40.95606
İSTANBUL,Maltepe,BAŞIBÜYÜK,Atatürk İlkokulu Bahçesi,29.15053,40.95533
İSTANBUL,Maltepe,BAŞIBÜYÜK,Azerbaycan Halk Cumhuriyeti 100. Yıl Parkı,29.1643,40.95502
İSTANBUL,Maltepe,BAŞIBÜYÜK,Baraj Yolu Parkı (1. Etap),29.14913,40.95173
İSTANBUL,Maltepe,BAŞIBÜYÜK,Başıbüyük Sağlık Ocağı,29.14402,40.95557
İSTANBUL,Maltepe,BAŞIBÜYÜK,Eren Sokak Parkı Bahçesi,29.14878,40.95582
İSTANBUL,Maltepe,BAŞIBÜYÜK,Fahri Kasapoğlu Cami Bahçesi,29.14728,40.95573
İSTANBUL,Maltepe,BAŞIBÜYÜK,Fındıklı İmam Hatip Ortaokulu Bahçesi,29.12442,40.96771
İSTANBUL,Maltepe,BAŞIBÜYÜK,İmamı Rabbani Cami Bahçesi,29.16307,40.9517
İSTANBUL,Maltepe,BAŞIBÜYÜK,Şehit İbrahim Cengiz İmam Hatip Ortaokulu Bahçesi,29.1486,40.95907
İSTANBUL,Maltepe,BAŞIBÜYÜK,Tepe İnşaat İlkokulu Bahçesi,29.16305,40.95116
İSTANBUL,Maltepe,BAŞIBÜYÜK,Yılmaz Mızrak Ortaokulu Bahçesi,29.14401,40.95914
