il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,CEVİZLİ,Cengiz Aytmatov Parkı,29.16167,40.91997
İSTANBUL,Maltepe,CEVİZLİ,Fil Yokuşu Sokak Yeşil Alan,29.15521,40.92365
İSTANBUL,Maltepe,CEVİZLİ,Toros Parkı,29.1524,40.92133
İSTANBUL,Maltepe,CEVİZLİ,Şht. Astsubay Başçvş. Parkı,29.15108,40.9Sultanbeyli
İSTANBUL,Maltepe,CEVİZLİ,Avm Bahçesi,29.16369,40.91967
İSTANBUL,Maltepe,CEVİZLİ,Ayhan Sokak Parkı,29.15615,40.92255
İSTANBUL,Maltepe,CEVİZLİ,Ayşe Ilıcak Cami Bahçesi,29.16903,40.91913
İSTANBUL,Maltepe,CEVİZLİ,Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.14898,40.92359
İSTANBUL,Maltepe,CEVİZLİ,Güzin Dinçkök Ortaokulu Bahçesi,29.1487,40.92254
İSTANBUL,Maltepe,CEVİZLİ,Kurşunlu Sokak Parkı,29.15714,40.91637
İSTANBUL,Maltepe,CEVİZLİ,Maltepe Kız Anadolu İmam Hatip Lisesi Bahçesi,29.1493,40.91727
İSTANBUL,Maltepe,CEVİZLİ,Mimar Sinan Cami Bahçesi,29.14953,40.92177
İSTANBUL,Maltepe,CEVİZLİ,Orhangazi Anadolu Lisesi Bahçesi,29.1452,40.91876
İSTANBUL,Maltepe,CEVİZLİ,Orhangazi İlkokulu Bahçesi,29.15209,40.92207
İSTANBUL,Maltepe,CEVİZLİ,Orhan Gazi Anadolu İmam Hatip Lisesi Bahçesi,29.14728,40.91822
İSTANBUL,Maltepe,CEVİZLİ,Şehit Alaattin Buluç Parkı,29.14966,40.92094
İSTANBUL,Maltepe,CEVİZLİ,Vasfirızazobu İlkokulu Bahçesi,29.14302,40.92229
