il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,ESENKENT,75.Yıl Parkı,29.16326,40.92336
İSTANBUL,Maltepe,ESENKENT,2 Temmuz Parkı,29.16145,40.92651
İSTANBUL,Maltepe,ESENKENT,Özgecan Aslan Parkı,29.16823,40.92636
İSTANBUL,Maltepe,ESENKENT,Kültür Sitesi Parkı,29.17134,40.93103
İSTANBUL,Maltepe,ESENKENT,Gökyüzü Eğitim Kurumları Bahçesi,29.16367,40.9256
İSTANBUL,Maltepe,ESENKENT,Esenkent Özmen Sokak Otopark,29.1686,40.92023
İSTANBUL,Maltepe,ESENKENT,Park,29.17075,40.93232
İSTANBUL,Maltepe,ESENKENT,50 Yıl Besim Kadırgan İlkokulu Bahçesi,29.16489,40.92574
İSTANBUL,Maltepe,ESENKENT,Atlas Sokak Parkı,29.15986,40.92292
İSTANBUL,Maltepe,ESENKENT,Derviş Sokak Parkı,29.1687,40.92113
İSTANBUL,Maltepe,ESENKENT,Ertuğrul Gazi Anadolu Lisesi Bahçesi,29.16698,40.92916
İSTANBUL,Maltepe,ESENKENT,Esenkent Fatih Cami Bahçesi,29.16922,40.92247
İSTANBUL,Maltepe,ESENKENT,Esenkent Ulu Cami Bahçesi,29.16934,40.93052
İSTANBUL,Maltepe,ESENKENT,Gül Çıkmazı Parkı,29.1589,40.92422
İSTANBUL,Maltepe,ESENKENT,Mor Sümbül Sokak Parkı,29.16405,40.92468
İSTANBUL,Maltepe,ESENKENT,Özgürlük Parkı,29.16734,40.93637
İSTANBUL,Maltepe,ESENKENT,Şehit Öğr.Nevzat Akdemir İlkokulu Bahçesi,29.17015,40.93412
İSTANBUL,Maltepe,ESENKENT,Umut Sokak Parkı,29.17029,40.9348
İSTANBUL,Maltepe,ESENKENT,Özgürlük ve Bülbülderesi Parkı,29.16684,40.93425
