il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,GİRNE,Muhtarlık Parkı,29.14089,40.94238
İSTANBUL,Maltepe,GİRNE,Irmak Sokak Parkı,29.13661,40.94369
İSTANBUL,Maltepe,GİRNE,Narlıpınar Parkı,29.1367,40.94262
İSTANBUL,Maltepe,GİRNE,Altın Yıllar Yaşam Merkezi,29.14285,40.94206
İSTANBUL,Maltepe,GİRNE,Atilla Uras Anadolu Lisesi Bahçesi,29.13476,40.94147
İSTANBUL,Maltepe,GİRNE,Emine-İbrahim Pekin Ortaokulu Bahçesi,29.13542,40.94306
İSTANBUL,Maltepe,GİRNE,Evliya Çelebi İlkokulu Bahçesi,29.14148,40.94294
İSTANBUL,Maltepe,GİRNE,Girne Merkez Cami Bahçesi,29.13871,40.94395
İSTANBUL,Maltepe,GİRNE,Hacı Yusuf Ziya Hamire Cami Bahçesi,29.1355,40.93974
İSTANBUL,Maltepe,GİRNE,Handan Hayrettin Yelkikanat Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.13358,40.94119
İSTANBUL,Maltepe,GİRNE,Mehmet Salih Bal Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.13645,40.94182
İSTANBUL,Maltepe,GİRNE,Nezahat Aslan Ekşioğlu İlkokulu Bahçesi,29.1349,40.94017
İSTANBUL,Maltepe,GİRNE,Zümrütevler Cami Bahçesi,29.14038,40.93782
