il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Zümrütevler Pazaryeri ve Çevresi,29.153,40.93401
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Üçyürek Parkı,29.15514,40.93695
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Bitlis Nemrut Parkı,29.15023,40.94389
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Mustafa Karaoğlu Parkı,29.14291,40.93917
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Karaca Parkı,29.1541,40.94367
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Zümrütevler Parkı,29.14657,40.93599
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Cami Bahçesi,29.15399,40.92849
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Adnan Kahveci Ortaokulu Bahçesi,29.14416,40.93726
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Cumhuriyet İlkokulu Bahçesi,29.15085,40.93126
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Hacı Mustafa Özyazıcı Cami Bahçesi,29.15957,40.94697
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Huzur Evi Yeşil Alan,29.1493,40.93128
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Hz.Ali Cami Bahçesi,29.15837,40.9415
İSTANBUL,Maltepe,ZÜMRÜTEVLER,İbb Barbaros Hayrettin Paşa Ortaokulu Bahçesi,29.16137,40.94974
İSTANBUL,Maltepe,ZÜMRÜTEVLER,İbb Atık Yönetim Müdürlüğü Fbö,29.15327,40.93257
İSTANBUL,Maltepe,ZÜMRÜTEVLER,İsmet İnönü İlkokulu Bahçesi,29.Kartal2,40.9339
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Müzahir Sille Parkı,29.14743,40.93178
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Serpil Şahinoğlu Anaokulu Bahçesi,29.15142,40.93088
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Simge Parkı,29.1556,40.94749
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Şehit Er Çağlar Mengü Kız Anadolu İmam Hatip Lisesi Bahçesi,29.15308,40.94425
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Şehit Mustafa Kaymakçı Anadolu İmam Hatip Lisesi Bahçesi,29.16623,40.94484
İSTANBUL,Maltepe,ZÜMRÜTEVLER,Zümrütevler İlkokulu Bahçesi,29.15364,40.94394
İSTANBUL,Maltepe,ZÜMRÜTEVLER,"Zümrütevler Merkez Cami Bahçesi,Parkı ve Halı Saha",29.15176,40.93469
