il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Maltepe,İDEALTEPE,İdealtepe 50. Yıl Korusu,29.12315,40.94076
İSTANBUL,Maltepe,İDEALTEPE,Anneler Sokak Parkı,29.11625,40.93652
İSTANBUL,Maltepe,İDEALTEPE,Fatih Tarakçı Parkı,29.11999,40.94382
İSTANBUL,Maltepe,İDEALTEPE,Hasan Şadoğlu Mesleki Teknik Anadolu Lisesi Bahçesi,29.1247,40.94499
İSTANBUL,Maltepe,İDEALTEPE,Kulluk Cami Bahçesi,29.11563,40.93942
İSTANBUL,Maltepe,İDEALTEPE,Maltepe Fen Lisesi Bahçesi,29.12261,40.94333
İSTANBUL,Maltepe,İDEALTEPE,Mutluhan Uzunal Çolakoğlu Ortaokulu Bahçesi,29.11941,40.94338
İSTANBUL,Maltepe,İDEALTEPE,Sanimalaz Parkı,29.1178,40.9388
İSTANBUL,Maltepe,İDEALTEPE,Hasan Şadoğlu Ortaokulu Bahçesi,29.11578,40.94033
İSTANBUL,Maltepe,İDEALTEPE,Güzide Yılmaz İlkokulu Bahçesi,29.12425,40.94411
