il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,ESENLER,Asri Sokak Botaş Parkı,29.27044,40.88943
İSTANBUL,Pendik,ESENLER,Hayri Ekşi Çocuk Parkı,29.27286,40.88112
İSTANBUL,Pendik,ESENLER,Ufuk Sokak Parkı,29.27322,40.8898
İSTANBUL,Pendik,ESENLER,Buhara Parkı,29.27432,40.88744
İSTANBUL,Pendik,ESENLER,Sinem Gücük Karaca Parkı,29.275,40.88314
İSTANBUL,Pendik,ESENLER,Tenzile Erdoğan  Parkı 2,29.26413,40.89197
İSTANBUL,Pendik,ESENLER,Esenler Cami Bahçesi,29.27007,40.89039
İSTANBUL,Pendik,ESENLER,Buhara İlkokulu Bahçesi,29.27399,40.88786
İSTANBUL,Pendik,ESENLER,Mehmed Zahid Kotku Kız Anadolu İmam Hatip Lisesi Bahçesi,29.2744,40.88851
İSTANBUL,Pendik,ESENLER,Sultan Abdülhamit Han Ortaokulu Bahçesi,29.27032,40.88436
İSTANBUL,Pendik,ESENLER,Fırat Ilgaz Caddesi Yeşil Sokak Kesişimi Antreman Sahası,29.2739,40.88039
