il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,GÜZELYALI,Nene Hatun Parkı,29.28088,40.86357
İSTANBUL,Pendik,GÜZELYALI,Şehit Fatih Devravut Parkı,29.28206,40.86438
İSTANBUL,Pendik,GÜZELYALI,Adalar9 Ada 2 Parsel Kamuya Ait Boş Arazi,29.28718,40.85706
İSTANBUL,Pendik,GÜZELYALI,Güzelyalı Ömer Hekim Cami Bahçesi,29.28328,40.86057
İSTANBUL,Pendik,GÜZELYALI,Hızı Kaplan Cami Bahçesi,29.285,40.85661
İSTANBUL,Pendik,GÜZELYALI,Gülizar Zeki Obdan Anadolu Lisesi Bahçesi,29.28504,40.86581
İSTANBUL,Pendik,GÜZELYALI,Gülizar Zeki Obdan İlkokulu Bahçesi,29.27508,40.8602
İSTANBUL,Pendik,GÜZELYALI,Pendik İTO Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.28532,40.85608
İSTANBUL,Pendik,GÜZELYALI,Özel Güzelyalı Bahçşehir Koleji Bahçesi,29.28619,40.85733
İSTANBUL,Pendik,GÜZELYALI,Çaldıran Sokak Parkı,29.28526,40.86218
İSTANBUL,Pendik,GÜZELYALI,Kervansayar Sokak Parkı,29.28154,40.85838
İSTANBUL,Pendik,GÜZELYALI,Şehit Ramazan Manastır Parkı,29.28539,40.85669
İSTANBUL,Pendik,GÜZELYALI,Türbe Sokak Parkı,29.27465,40.85995
İSTANBUL,Pendik,GÜZELYALI,Yunus Emre Parkı,29.2803,40.85966
İSTANBUL,Pendik,GÜZELYALI,Yücel Sokak Parkı,29.28637,40.86286
İSTANBUL,Pendik,GÜZELYALI,Güzelyalı Mimar Sinan Cami Bahçesi,29.28802,40.86114
