il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,KAVAKPINAR,Kavakpınar Gençlik Merkezi Parkı,29.27972,40.88112
İSTANBUL,Pendik,KAVAKPINAR,Kavakpınar Parkı,29.29335,40.87518
İSTANBUL,Pendik,KAVAKPINAR,Şehit Teğmen Turgay Karaman Parkı 1,29.28157,40.88054
İSTANBUL,Pendik,KAVAKPINAR,Şehit Teğmen Turgay Karaman Parkı 2,29.28137,40.88007
İSTANBUL,Pendik,KAVAKPINAR,Şehit Burak Güneş Parkı,29.28961,40.88002
İSTANBUL,Pendik,KAVAKPINAR,Şehit Ahmet Aslanhan Parkı,29.28093,40.887
İSTANBUL,Pendik,KAVAKPINAR,8135 Ada 8 Parsel Kamuya Ait Hisseli Boş Arazi,29.28785,40.886
İSTANBUL,Pendik,KAVAKPINAR,Adil Erdem Bayazıt Ortaokulu Bahçesi,29.27965,40.88165
İSTANBUL,Pendik,KAVAKPINAR,Alemdar Paşa Ortaokulu Bahçesi,29.27989,40.87208
İSTANBUL,Pendik,KAVAKPINAR,Engin Sk. Yeni Okul Alanı Bahçesi,29.28542,40.87335
İSTANBUL,Pendik,KAVAKPINAR,Fuat Köprülü Ortaokulu Bahçesi,29.27946,40.88227
İSTANBUL,Pendik,KAVAKPINAR,Kavakpınar İlköğretim Okulu Bahçesi,29.28451,40.87698
İSTANBUL,Pendik,KAVAKPINAR,Kavkpınar Lisesi Bahçesi,29.28033,40.87974
İSTANBUL,Pendik,KAVAKPINAR,Kavakpınar Mahalle Muhtarlığı Bahçesi,29.281,40.88102
İSTANBUL,Pendik,KAVAKPINAR,Özgecan Aslan Parkı,29.28846,40.88045
İSTANBUL,Pendik,KAVAKPINAR,Şehit Harun Aslan Parkı,29.2838,40.88388
İSTANBUL,Pendik,KAVAKPINAR,9848 Ada 1 Parsel Şahsa Ait Antreman Sahası,29.27865,40.8819
İSTANBUL,Pendik,KAVAKPINAR,Kavakpınar 2 Nolu Sağlık Ocağı,29.27995,40.88033
