il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,KAYNARCA,Şeyh Edebali Parkı,29.26016,40.87457
İSTANBUL,Pendik,KAYNARCA,Şehit Astsubay Erdoğan Yeni Parkı,29.25732,40.87171
İSTANBUL,Pendik,KAYNARCA,Şehit Yaşar Bayraktar Parkı,29.25189,40.87942
İSTANBUL,Pendik,KAYNARCA,Barbaros Hayrettin Paşa Parkı,29.26756,40.86816
İSTANBUL,Pendik,KAYNARCA,11349 Ada 3 Parsel (Kamu Arazisi),29.25306,40.87404
İSTANBUL,Pendik,KAYNARCA,Sultan Süleyman Cami Bahçesi,29.26077,40.87008
İSTANBUL,Pendik,KAYNARCA,Dr. Muhammet Tayyip Okiç Anadolu İmam Hatip Lisesi Bahçesi,29.25372,40.87761
İSTANBUL,Pendik,KAYNARCA,Öğretmenlerevi Ortaokulu Bahçesi,29.26652,40.86891
İSTANBUL,Pendik,KAYNARCA,Yıldırım Beyazıt İlkokulu Bahçesi,29.26055,40.87545
İSTANBUL,Pendik,KAYNARCA,Yıldırım Beyazıt Ortaokulu Bahçesi,29.26037,40.87584
İSTANBUL,Pendik,KAYNARCA,Kaynarca Mh. Ankara Caddesi Bulvarı Yeşil Alanı,29.25226,40.8729
İSTANBUL,Pendik,KAYNARCA,Botaş Parkı,29.24936,40.8789
İSTANBUL,Pendik,KAYNARCA,Hacı Arif Kut Camii Bahçesi,29.24862,40.87644
İSTANBUL,Pendik,KAYNARCA,Çamlık Sk. Parkı,29.24888,40.87713
İSTANBUL,Pendik,KAYNARCA,İbb Kaynarca Parkı,29.24834,40.87554
İSTANBUL,Pendik,KAYNARCA,11349 Ada 6 Parsel (Kamu Arazisi),29.25274,40.87361
