il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,KURTKÖY,Lokman Hekim Camii Yanı Parkı,29.31002,40.91078
İSTANBUL,Pendik,KURTKÖY,Mesken Konutları 2 Parkı,29.28898,40.91467
İSTANBUL,Pendik,KURTKÖY,Kurtköy Anadolu İmam Hatip Lisesi,29.29459,40.91409
İSTANBUL,Pendik,KURTKÖY,Nasrettin Hoca Parkı,29.29508,40.91329
İSTANBUL,Pendik,KURTKÖY,Yıldırım Beyazıt Çocuk Parkı,29.30564,40.91242
İSTANBUL,Pendik,KURTKÖY,Molla Gürani Parkı,29.28673,40.91683
İSTANBUL,Pendik,KURTKÖY,700. Yıl Ortaokulu Bahçesi,29.29546,40.91366
İSTANBUL,Pendik,KURTKÖY,Kurtköy Anadolu Lisesi Bahçesi,29.2967,40.91312
İSTANBUL,Pendik,KURTKÖY,Şehit Piyade Er Murat Erdem Park ve Çeşmesi,29.3014,40.91373
İSTANBUL,Pendik,KURTKÖY,Mustafa Karuşağı İlkokulu Bahçesi,29.29855,40.91127
