il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,VELİBABA,Şehit Murat Çelik Parkı,29.25788,40.89491
İSTANBUL,Pendik,VELİBABA,Şehit Kadir Demir Parkı,29.2515,40.90608
İSTANBUL,Pendik,VELİBABA,Çağlayan Sokak Parkı,29.24696,40.91261
İSTANBUL,Pendik,VELİBABA,Kardelen  Çocuk Parkı,29.24764,40.90628
İSTANBUL,Pendik,VELİBABA,Velibaba İlköğretim Okulu Yanı Parkı,29.25271,40.90915
İSTANBUL,Pendik,VELİBABA,Rahmet Tepesi,29.25764,40.9046
İSTANBUL,Pendik,VELİBABA,Çanakkale Şehitleri Cami Yanı Parkı,29.25718,40.89646
İSTANBUL,Pendik,VELİBABA,Tasdik Sokak Parkı,29.25578,40.90023
İSTANBUL,Pendik,VELİBABA,Velibaba Parkı,29.25711,40.9069
İSTANBUL,Pendik,VELİBABA,Nuh Kuscullu Mesleki Teknik Anadolu Lisesi Bahçesi,29.25533,40.90583
İSTANBUL,Pendik,VELİBABA,Osmangazi İlkokulu Bahçesi,29.25593,40.89681
İSTANBUL,Pendik,VELİBABA,Ömer Nasuhi Bilmen İmam Hatip Ortaokulu Bahçesi,29.25104,40.90052
İSTANBUL,Pendik,VELİBABA,Dolayoba Antrenman Sahası,29.26077,40.89253
İSTANBUL,Pendik,VELİBABA,Velibaba Açık Antreman Sahası,29.26111,40.89191
