il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Pendik,YENİŞEHİR,Gökay Sokak Parkı,29.30074,40.93395
İSTANBUL,Pendik,YENİŞEHİR,Millet Caddesi Parkı,29.30936,40.92548
İSTANBUL,Pendik,YENİŞEHİR,Cem Karaca Parkı,29.30612,40.92777
İSTANBUL,Pendik,YENİŞEHİR,Reyhan Caddesi Toplanma Alanı,29.31173,40.93892
İSTANBUL,Pendik,YENİŞEHİR,Şehit Muhammet Oğuz Kılınç Parkı,29.30162,40.92374
İSTANBUL,Pendik,YENİŞEHİR,Osmangazi Parkı,29.2939,40.92396
İSTANBUL,Pendik,YENİŞEHİR,Selçuklu Parkı,29.29037,40.92689
İSTANBUL,Pendik,YENİŞEHİR,Barış Manco Parkı,29.29606,40.92814
İSTANBUL,Pendik,YENİŞEHİR,Türk Macar Dostluk Parkı ve Ampute Sahası,29.31,40.93091
İSTANBUL,Pendik,YENİŞEHİR,Tavukçuyolu Mesire Alanı,29.30875,40.94562
İSTANBUL,Pendik,YENİŞEHİR,Yaşam Korusu,29.29238,40.93364
İSTANBUL,Pendik,YENİŞEHİR,Kurtköy İlkokulu Bahçesi,29.30445,40.91796
İSTANBUL,Pendik,YENİŞEHİR,Orhangazi Ortaokulu Bahçesi,29.29912,40.92492
İSTANBUL,Pendik,YENİŞEHİR,Bakü Cd. Yeşil Alan,29.299,40.92081
İSTANBUL,Pendik,YENİŞEHİR,Yıldırım Demirören Spor Kompleksi,29.31868,40.93109
