il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Defne Bahçesi,29.25451,41.00132
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Abdurrahmangazi Parkı,29.22426,40.99757
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Necip Fazıl Kısakürek Parkı,29.24789,40.99877
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Cevher Dudayev (Saat Kulesi) Parkı,29.22977,40.98565
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Mehtap Parkı,29.24212,41.00339
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Şehit İsmail Kilit Parkı,29.24103,40.99845
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Şehit Sedat Bugan Parkı,29.23827,40.99039
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Şehit Er Murat Karataş Parkı,29.22789,41.00197
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Atatürk Parkı,29.22791,40.98626
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Şehir Parkı,29.22932,40.99283
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Asır Caddesi Yanı Çim Alan,29.22759,40.99352
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Cemal Süreyya Bahçesi,29.23152,41.00601
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Samandıra Anadolu Teknik Lisesi Bahçesi,29.23303,40.98912
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Samandıra Lisesi Bahçesi 1,29.22819,40.98937
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Samandıra Lisesi Bahçesi 2,29.22701,40.98901
İSTANBUL,Sancaktepe,ABDURRAHMANGAZİ,Sancaktepe Belediyesi 15 Temmuz Stadyumu,29.22636,41.00259
