il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,AKPINAR,Ş. Polis Ersoy Karacaoğlan Parkı,29.23408,40.96829
İSTANBUL,Sancaktepe,AKPINAR,Karanfil Parkı,29.23544,40.97361
İSTANBUL,Sancaktepe,AKPINAR,Menekşe Parkı,29.22467,40.96729
İSTANBUL,Sancaktepe,AKPINAR,Akpınar Parkı,29.23162,40.97111
İSTANBUL,Sancaktepe,AKPINAR,Hasan Basri Parkı,29.22934,40.96861
İSTANBUL,Sancaktepe,AKPINAR,Semyacı Çocuk Bahçesi,29.23374,40.9694
İSTANBUL,Sancaktepe,AKPINAR,Pehlivanlar Bahçesi,29.22344,40.96297
İSTANBUL,Sancaktepe,AKPINAR,Park Bahçeler Müdürlüğü Arıtma Tesisi,29.2296,40.96088
İSTANBUL,Sancaktepe,AKPINAR,Cengiz Topel İlkokulu Bahçesi,29.23336,40.96824
İSTANBUL,Sancaktepe,AKPINAR,Fatih Sultan Mehmet Han Cami Bahçesi,29.22724,40.96614
