il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,ATATÜRK,Atatürk Mahallesi Dumanlar Sokak Boş Alan,29.23164,41.01384
İSTANBUL,Sancaktepe,ATATÜRK,Sevgi Çocuk Parkı,29.22598,41.01576
İSTANBUL,Sancaktepe,ATATÜRK,Ş. Satılmış Yıldırım Parkı,29.22133,41.01279
İSTANBUL,Sancaktepe,ATATÜRK,Zübeyde Hanım Parkı,29.22624,41.01422
İSTANBUL,Sancaktepe,ATATÜRK,Eşref Bitlis Parkı,29.22893,41.01576
İSTANBUL,Sancaktepe,ATATÜRK,Akşemsettin Parkı,29.22389,41.01574
İSTANBUL,Sancaktepe,ATATÜRK,Ş.İbrahim Candemir Park,29.22199,41.01308
İSTANBUL,Sancaktepe,ATATÜRK,Ş.Uğur Sağdıç Park,29.2239,41.01264
İSTANBUL,Sancaktepe,ATATÜRK,Mehmet Akif Ersoy Park,29.22695,41.01161
İSTANBUL,Sancaktepe,ATATÜRK,Çınarım Düğün Salonları Yanı,29.21817,41.00866
