il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,EYÜP SULTAN,Şehit Hasan Çelik Parkı,29.22932,40.98247
İSTANBUL,Sancaktepe,EYÜP SULTAN,Mehmet Akif Ersoy Parkı,29.21378,40.97927
İSTANBUL,Sancaktepe,EYÜP SULTAN,Sancaktepe Parkı,29.21869,40.98562
İSTANBUL,Sancaktepe,EYÜP SULTAN,İstiklal Parkı,29.22042,40.98476
İSTANBUL,Sancaktepe,EYÜP SULTAN,Selçuklu Bahçesi Parkı,29.22615,40.97994
İSTANBUL,Sancaktepe,EYÜP SULTAN,Boş Alan,29.22417,40.98544
İSTANBUL,Sancaktepe,EYÜP SULTAN,Sancaktepe Eyüp Sultan Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.19518,40.99025
İSTANBUL,Sancaktepe,EYÜP SULTAN,75. Yıl Cumhuriyet İlköğretim Okulu Bahçesi,29.19447,40.99172
İSTANBUL,Sancaktepe,EYÜP SULTAN,75. Yıl Cumhuriyet Ortaokulu Bahçesi,29.19561,40.99134
İSTANBUL,Sancaktepe,EYÜP SULTAN,Şakir Demir İlkokulu Bahçesi,29.22108,40.9825
