il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,FATİH,Fatih Sultan Mehmet Park,29.21402,40.95452
İSTANBUL,Sancaktepe,FATİH,Şehit Yücel Ürün Parkı,29.21636,40.95736
İSTANBUL,Sancaktepe,FATİH,Ortadağ Tepesi Parkı,29.21776,40.95568
İSTANBUL,Sancaktepe,FATİH,Derman Sokak Parkı,29.21272,40.96338
İSTANBUL,Sancaktepe,FATİH,Lale Parkı,29.22025,40.9542
İSTANBUL,Sancaktepe,FATİH,Fenerbahçe Parkı,29.2169,40.95136
İSTANBUL,Sancaktepe,FATİH,Meşeli Park,29.22187,40.97443
İSTANBUL,Sancaktepe,FATİH,Serdivan Piknik Alanı,29.2Esenler,40.9743
İSTANBUL,Sancaktepe,FATİH,Zeybek Parkı,29.21114,40.96735
İSTANBUL,Sancaktepe,FATİH,Akif Demirci Cami Çocuk Bahçesi Parkı,29.21657,40.96731
İSTANBUL,Sancaktepe,FATİH,Samandıra Kent Ormanı,29.21751,40.97286
İSTANBUL,Sancaktepe,FATİH,Ortadağ Spor Tesisleri ve Çocuk Bahçesi,29.21263,40.96445
İSTANBUL,Sancaktepe,FATİH,Yoca Çocuk Bahçesi,29.21929,40.95238
İSTANBUL,Sancaktepe,FATİH,0/1961 Parsel (Fenerbahçe Tes.Yanı),29.21625,40.95091
İSTANBUL,Sancaktepe,FATİH,Sabedin Türker İlkokulu Bahçesi,29.22009,40.97303
İSTANBUL,Sancaktepe,FATİH,Hüseyin Temizel Ortaokulu Bahçesi,29.21138,40.95768
