il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,OSMANGAZİ,Şehit Bayram Okçu Parkı,29.24531,40.99048
İSTANBUL,Sancaktepe,OSMANGAZİ,Şehit Murat Kalıntaş Parkı,29.23284,40.98366
İSTANBUL,Sancaktepe,OSMANGAZİ,Ihlamur Koşu Parkı,29.24033,40.98688
İSTANBUL,Sancaktepe,OSMANGAZİ,Güvercin Parkı,29.24454,40.98031
İSTANBUL,Sancaktepe,OSMANGAZİ,Özlem (Engelliler) Parkı,29.23475,40.98306
İSTANBUL,Sancaktepe,OSMANGAZİ,Tomurcuk Parkı,29.24853,40.98573
İSTANBUL,Sancaktepe,OSMANGAZİ,Alsancak Parkı,29.24458,40.98442
İSTANBUL,Sancaktepe,OSMANGAZİ,K. Dursun Ali Şahin Parkı,29.24388,40.98706
İSTANBUL,Sancaktepe,OSMANGAZİ,Şehit İbrahim İşcan Parkı,29.24885,40.9912
İSTANBUL,Sancaktepe,OSMANGAZİ,Şht. Pyd. Uzm. Çvş. Caner Çelik Parkı,29.23863,40.9813
İSTANBUL,Sancaktepe,OSMANGAZİ,Dede Korkut Bahçeleri,29.24554,40.98532
İSTANBUL,Sancaktepe,OSMANGAZİ,Ak Bahçe,29.25263,40.99603
İSTANBUL,Sancaktepe,OSMANGAZİ,Dere Spor Tesisleri ve Çocuk Bahç.,29.25765,40.9967
İSTANBUL,Sancaktepe,OSMANGAZİ,Şehit Mustafa Bedinhan Karakaya Parkı,29.25421,40.99445
İSTANBUL,Sancaktepe,OSMANGAZİ,Nar Çiçeği Çocuk Bahçesi,29.24046,40.97892
İSTANBUL,Sancaktepe,OSMANGAZİ,Cemal Safi Bahçesi,29.24129,40.99147
İSTANBUL,Sancaktepe,OSMANGAZİ,İbni Sina İlkokulu Bahçesi,29.24756,40.98443
İSTANBUL,Sancaktepe,OSMANGAZİ,Nermin Ahmet Hasoğlu İlköğretim Okulu,29.24812,40.99251
İSTANBUL,Sancaktepe,OSMANGAZİ,Sancaktepe Aziz Bayraktar Anadolu İmam Hatip Lisesi ve Camii Bahçesi,29.24742,40.99177
