il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,YENİDOĞAN,Meryem Çolak Parkı,29.24353,41.01197
İSTANBUL,Sancaktepe,YENİDOĞAN,Ş. P. Ast. Kenan Ceylan Parkı,29.23943,41.01299
İSTANBUL,Sancaktepe,YENİDOĞAN,Yenidoğan Parkı,29.2368,41.01247
İSTANBUL,Sancaktepe,YENİDOĞAN,Ceyhan Caddesi Parkı,29.23872,41.01487
İSTANBUL,Sancaktepe,YENİDOĞAN,Seyhan Caddesi Parkı,29.24139,41.0115
İSTANBUL,Sancaktepe,YENİDOĞAN,Yiğit Arda Kay Parkı,29.23857,41.01159
İSTANBUL,Sancaktepe,YENİDOĞAN,Sümbül Çay Bahçesi,29.23498,41.00941
İSTANBUL,Sancaktepe,YENİDOĞAN,Mansur Çay Bahçesi,29.24069,41.01551
İSTANBUL,Sancaktepe,YENİDOĞAN,Yenidoğan Mahallesi Tunahan Cd. Boş Alan,29.23463,41.01446
İSTANBUL,Sancaktepe,YENİDOĞAN,Yenidoğan Mahallesi Gülistan Cd. Boş Alan,29.2424,41.01347
