il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa Merkez Parkı,28.99863,41.11548
İSTANBUL,Sarıyer ,AYAZAĞA,Cumhuriyet Parkı (Şehitler Parkı),29.0007,41.11613
İSTANBUL,Sarıyer ,AYAZAĞA,Dereboyu Sokak Parkı,28.9961,41.12013
İSTANBUL,Sarıyer ,AYAZAĞA,Yeşiltepe Parkı,29.00342,41.1234
İSTANBUL,Sarıyer ,AYAZAĞA,Belediye Evleri Yanı Park,29.00304,41.12205
İSTANBUL,Sarıyer ,AYAZAĞA,G-24 Sokak Parkı,29.00333,41.Beykoz2
İSTANBUL,Sarıyer ,AYAZAĞA,157. Sokak Parkı,28.99998,41.12156
İSTANBUL,Sarıyer ,AYAZAĞA,Vadi Evleri Karşısı Spor Alanı,28.98385,41.11321
İSTANBUL,Sarıyer ,AYAZAĞA,21.Y.Y.Eğit.ve Kül.Vak. Nilüfer Gökay Ortaokulu Bahçesi,29.00153,41.12317
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa Anadolu Lisesi Bahçesi,29.00072,41.12445
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa İlkokulu Bahçesi,28.99817,41.11333
İSTANBUL,Sarıyer ,AYAZAĞA,Mehmet Rıfat Evyap Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.99321,41.11745
İSTANBUL,Sarıyer ,AYAZAĞA,Uğur Erkey İlkokulu Bahçesi,29.00176,41.12022
İSTANBUL,Sarıyer ,AYAZAĞA,Dereboyu Belediye Otoparkı,28.99756,41.11727
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa Sevgi Parkı,28.99418,41.11924
İSTANBUL,Sarıyer ,AYAZAĞA,Meydan Şerifebacı Parkı,28.99786,41.11575
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa Eczacıbaşı Spor Salonu,28.97342,41.11092
İSTANBUL,Sarıyer ,AYAZAĞA,Ayazağa Spor Kulübü,28.99842,41.11422
