il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sarıyer ,FERAHEVLER,Şehit Uğur Taşçı İlkokulu Bahçesi,29.03865,41.1311
İSTANBUL,Sarıyer ,FERAHEVLER,Ferahevler Girişi Parkı,29.03965,41.13664
İSTANBUL,Sarıyer ,FERAHEVLER,Atsuhi Miyazaki Parkı,29.0452,41.13431
İSTANBUL,Sarıyer ,FERAHEVLER,Mustafa Yumak Parkı,29.03996,41.13546
İSTANBUL,Sarıyer ,FERAHEVLER,Necip Fazıl Kısakürek Parkı,29.03885,41.13085
İSTANBUL,Sarıyer ,FERAHEVLER,Çelik Çıkmazı Parkı,29.04611,41.127
İSTANBUL,Sarıyer ,FERAHEVLER,Dedeman Parkı,29.04815,41.13002
İSTANBUL,Sarıyer ,FERAHEVLER,Mevlana Parkı,29.03789,41.12621
İSTANBUL,Sarıyer ,FERAHEVLER,Şehit Öğretmenler Parkı,29.04136,41.1316
İSTANBUL,Sarıyer ,FERAHEVLER,Ferahevler Fen İşleri Şantiye Alanı,29.0457,41.12436
