il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sarıyer ,TARABYA,Nasreddin Hoca Parkı,29.05187,41.13678
İSTANBUL,Sarıyer ,TARABYA,Sanatçılar Sitesi Parkı,29.03621,41.13959
İSTANBUL,Sarıyer ,TARABYA,Şalcıkır Parkı,29.04101,41.14209
İSTANBUL,Sarıyer ,TARABYA,Şenevler Parkı,29.04293,41.13753
İSTANBUL,Sarıyer ,TARABYA,Hoşgörü Parkı,29.03133,41.14183
İSTANBUL,Sarıyer ,TARABYA,Sevgi Parkı,29.03205,41.14163
İSTANBUL,Sarıyer ,TARABYA,Marmara Üniv Alanı,29.05424,41.14182
İSTANBUL,Sarıyer ,TARABYA,Alparslan İlkokulu Bahçesi ve Ortaokulu Bahçesi Yanı Otoparkı,29.05016,41.13898
İSTANBUL,Sarıyer ,TARABYA,Bora Sürücü Kursu,29.03053,41.14095
İSTANBUL,Sarıyer ,TARABYA,Tarabya Spor Kulübü,29.05167,41.14099
