il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Silivri ,GÜMÜŞYAKA,Kutlukhan Sokak Çocuk Parkı,28.01919,41.03899
İSTANBUL,Silivri ,GÜMÜŞYAKA,Fatih Caddesi Çocuk Parkı,28.03631,41.04974
İSTANBUL,Silivri ,GÜMÜŞYAKA,Adsız Nefer sokak Çocuk Parkı,28.03961,41.05194
İSTANBUL,Silivri ,GÜMÜŞYAKA,Sulusaray Sokak Çocuk Parkı,28.01197,41.03676
İSTANBUL,Silivri ,GÜMÜŞYAKA,Belediye Çay Bahçesi Çocuk Parkı,28.04352,41.0447
İSTANBUL,Silivri ,GÜMÜŞYAKA,Saatçi Sokak Çocuk Parkı,28.04809,41.0489
İSTANBUL,Silivri ,GÜMÜŞYAKA,Gazanfer Pala Okulu Altı Çocuk Parkı,28.0409,41.0471
İSTANBUL,Silivri ,GÜMÜŞYAKA,Konuralp Caddesi Çocuk Parkı,28.02673,41.04223
İSTANBUL,Silivri ,GÜMÜŞYAKA,Krallık Parkı,28.04484,41.04783
İSTANBUL,Silivri ,GÜMÜŞYAKA,Pekgöz Sokak 1 Büyükşehir Parkı,28.05383,41.05174
İSTANBUL,Silivri ,GÜMÜŞYAKA,Pekgöz Sokak 2 Büyükşehir Parkı,28.05321,41.05232
İSTANBUL,Silivri ,GÜMÜŞYAKA,Abdiağa Çocuk Parkı,28.05571,41.0541
İSTANBUL,Silivri ,GÜMÜŞYAKA,Gümüşyaka Anadolu Lisesi Bahçesi,28.04245,41.04723
İSTANBUL,Silivri ,GÜMÜŞYAKA,Gümüşyaka Ahmet Oruç Parkı,28.04797,41.04698
