il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Silivri ,MİMAR SİNAN,Erol Atakulu Caddesi Çocuk Parkı,28.21698,41.08319
İSTANBUL,Silivri ,MİMAR SİNAN,Yalım Sokak Spor Alanı,28.23908,41.08558
İSTANBUL,Silivri ,MİMAR SİNAN,Gaye Sokak Çocuk Parkı,28.25092,41.09375
İSTANBUL,Silivri ,MİMAR SİNAN,Gün Sokak Parkı,28.24217,41.08789
İSTANBUL,Silivri ,MİMAR SİNAN,Gürbüz Aydın Sokak Basketbol Sahası,28.24062,41.08774
İSTANBUL,Silivri ,MİMAR SİNAN,Tan Sokak Yeşil Alan,28.24153,41.08758
İSTANBUL,Silivri ,MİMAR SİNAN,Eser Sokak Çocuk Parkı,28.24138,41.08486
İSTANBUL,Silivri ,MİMAR SİNAN,Mimar Sinan İlkokulu/Ortaokulu Bahçesi,28.24152,41.0888
İSTANBUL,Silivri ,MİMAR SİNAN,Mektebim Koleji Bahçesi,28.2Bahçelievler,41.08084
İSTANBUL,Silivri ,MİMAR SİNAN,Safir Sk.-Platin Sk. Kesişimi Yeşil Alanı,28.23902,41.08694
