il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Silivri ,YENİ,Müjdat Gürsu Caddesi Spor Alanı,28.25528,41.0773
İSTANBUL,Silivri ,YENİ,ADSOM Yanı Çay Bahçesi,28.25455,41.07827
İSTANBUL,Silivri ,YENİ,Cumhuriyet Parkı,28.26174,41.08842
İSTANBUL,Silivri ,YENİ,Ahmet Şair Erhan Parkı,28.2567,41.07889
İSTANBUL,Silivri ,YENİ,Gazi Sokak Futbol Sahası,28.28061,41.0742
İSTANBUL,Silivri ,YENİ,Semerci Sokak Parkı,28.27839,41.07505
İSTANBUL,Silivri ,YENİ,Harmanlık Mevki Çocuk Parkı,28.26818,41.08524
İSTANBUL,Silivri ,YENİ,Engelliler Okulu Çocuk Parkı,28.2521,41.07816
İSTANBUL,Silivri ,YENİ,Yeni Mahalle Cemevi Bahçesi,28.24358,41.08333
İSTANBUL,Silivri ,YENİ,Şerife Baldöktü Meslek Lisesi Önü,28.24245,41.08175
İSTANBUL,Silivri ,YENİ,Toki Cumhuriyet Anadolu Lisesi Bahçesi,28.26625,41.08005
