il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultanbeyli,BATTALGAZİ,Ertuğrul Gazi Parkı,29.27896,40.97951
İSTANBUL,Sultanbeyli,BATTALGAZİ,Bosna Parkı,29.2647,40.98684
İSTANBUL,Sultanbeyli,BATTALGAZİ,Muhsi Yazıcıoğlu Parkı,29.27067,40.98336
İSTANBUL,Sultanbeyli,BATTALGAZİ,Selçuklu Parkı,29.27905,40.98387
İSTANBUL,Sultanbeyli,BATTALGAZİ,Şehit Hamit Sütmen Parkı,29.26882,40.98181
İSTANBUL,Sultanbeyli,BATTALGAZİ,Battalgazi İlkokulu Bahçesi/Battalgazi Ortaokulu Bahçesi,29.28417,40.98816
İSTANBUL,Sultanbeyli,BATTALGAZİ,Ertuğrul Gazi Ortaokulu Bahçesi,29.27908,40.97792
İSTANBUL,Sultanbeyli,BATTALGAZİ,Esma Sultan Anaokulu Bahçesi,29.28393,40.98749
İSTANBUL,Sultanbeyli,BATTALGAZİ,Sabiha Gökçen Mesleki ve Teknik Anadolu,29.26618,40.98635
İSTANBUL,Sultanbeyli,BATTALGAZİ,Sultan Alparslan Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.28245,40.98905
İSTANBUL,Sultanbeyli,BATTALGAZİ,Sultanbeyli Çok Programlı Anadolu Lisesi Bahçesi,29.26918,40.9828
İSTANBUL,Sultanbeyli,BATTALGAZİ,Ş.Ö. Hamit Sütmen İlkokulu Bahçesi/Ş.Ö. Hamit Sütmen Ortaokulu Bahçesi,29.26868,40.98201
İSTANBUL,Sultanbeyli,BATTALGAZİ,Türktelekom Şehit Murat Naiboğlu Anadolu Lisesi Bahçesi,29.28293,40.98431
İSTANBUL,Sultanbeyli,BATTALGAZİ,Battalgazi Otopark,29.27938,40.98816
İSTANBUL,Sultanbeyli,BATTALGAZİ,Battalgazi Mahallesi Yeşil Alan Parkı,29.28224,40.9905
İSTANBUL,Sultanbeyli,BATTALGAZİ,Hatmi Sokak Parkı,29.26573,40.98424
İSTANBUL,Sultanbeyli,BATTALGAZİ,Belediye Fen İşleri Önü Toplanma Alanı,29.2684,40.98259
İSTANBUL,Sultanbeyli,BATTALGAZİ,Belediye Kapalı Spor Salonu Önü Toplanma Alanı,29.26898,40.98396
İSTANBUL,Sultanbeyli,BATTALGAZİ,Muhsin Yazıcıoğlu Nikah Sarayı Önü Toplanma Alanı,29.27005,40.98311
