il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultanbeyli,MECİDİYE,Yavuz Sultan Selim Parkı,29.29275,40.95899
İSTANBUL,Sultanbeyli,MECİDİYE,Mecidiye Parkı,29.29691,40.9609
İSTANBUL,Sultanbeyli,MECİDİYE,Şeyh Edebali Parkı,29.3053,40.95606
İSTANBUL,Sultanbeyli,MECİDİYE,Ahmet Yesevi İlkokulu Bahçesi,29.29616,40.95496
İSTANBUL,Sultanbeyli,MECİDİYE,Cahit Zarifoğlu İmam Hatip Lisesi Bahçesi Ortaokulu Bahçesi,29.30894,40.95128
İSTANBUL,Sultanbeyli,MECİDİYE,Mecidiye Anaokulu Bahçesi,29.30779,40.95182
İSTANBUL,Sultanbeyli,MECİDİYE,Mehmet Corcor İlkokulu Bahçesi,29.30839,40.95157
İSTANBUL,Sultanbeyli,MECİDİYE,Vega Koleji Bahçesi,29.29838,40.95435
İSTANBUL,Sultanbeyli,MECİDİYE,İstanbulensis Parkı,29.30128,40.9531
İSTANBUL,Sultanbeyli,MECİDİYE,Maraşal Fevzi Çakmak Ortaokulu Bahçesi,29.29884,40.96266
