il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Mustafa Kemal Atatürk Parkı 1,29.27406,40.9896
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Mustafa Kemal Atatürk Parkı 2,29.27352,40.9898
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Kut-Ül Amare Parkı,29.26271,40.99753
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Afet ve Eğitim Parkı,29.2813,41.00135
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Mimar Sinan Parkı,29.26422,40.99278
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Cumhuriyet Parkı 1,29.26038,40.99309
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Cumhuriyet Parkı 2,29.26073,40.99337
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Şehit Fatih Efiloğlu Parkı,29.27281,40.99426
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Hacı Veyiszade Parkı,29.25783,40.99064
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Aliya İzzet Begoviç Parkı,29.26739,40.99199
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Özgürlük Parkı,29.26895,40.98997
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Aziz Sancar Anadolu Lisesi Bahçesi,29.27426,40.99856
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Mimar Sinan İlkokulu Bahçesi/Mimar Sinan Ortaokulu Bahçesi,29.26816,41.00253
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Naim Süleymanoğlu Spor Lisesi,29.2778,40.9988
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Nene Hatun İlkokulu Bahçesi,29.26045,40.99152
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Sultanbeyli Anadolu İmam Hatip Lisesi Lisesi,29.27133,40.99433
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Sultanbeyli İbrahim Hakkı Anadolu Lisesi Bahçesi,29.28371,41.00066
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Şehit İhsan Yıldız İmam Hatip Lisesi Bahçesi Ortaokulu Bahçesi,29.27399,40.99736
İSTANBUL,Sultanbeyli,MİMAR SİNAN,T.H.K. Gazi Ortaokulu Bahçesi,29.268,40.99136
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Turhan Feyzioğlu Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.26235,40.99609
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Yıldırım Beyazıt İlkokulu Bahçesi/Yıldırım Beyazıt Ortaokulu Bahçesi,29.27889,40.9989
İSTANBUL,Sultanbeyli,MİMAR SİNAN,Togemder Özel Eğitim Anaokulu Bahçesi,29.2599,40.99199
İSTANBUL,Sultanbeyli,MİMAR SİNAN,75. Yıl Stadyumu,29.25588,40.9898
