il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,75. YIL,Gazi Merkez Camii Arkası Boş Alan 1331/2 Sokak,28.90109,41.09758
İSTANBUL,Sultangazi,75. YIL,Sultangazi Parkı,28.90569,41.09364
İSTANBUL,Sultangazi,75. YIL,Aliye İzzet Begoviç Parkı,28.90336,41.09473
İSTANBUL,Sultangazi,75. YIL,Ahmet Durakoğlu Parkı,28.90822,41.09518
İSTANBUL,Sultangazi,75. YIL,İ.B.B 75.Yıl Yüzme Havuzu Bahçesi,28.90217,41.09529
İSTANBUL,Sultangazi,75. YIL,İstiklal İlk Öğretim Okulu Toplanma Alanı,28.90505,41.09576
İSTANBUL,Sultangazi,75. YIL,Ali Kuşçu Parkı,28.90372,41.09588
İSTANBUL,Sultangazi,75. YIL,Cumhuriyet Caddesi Parkı Toplanma Alanı,28.90553,41.09602
İSTANBUL,Sultangazi,75. YIL,İstiklal Caddesi 1258/3 Sokak Parkı Toplanma Alanı,28.90776,41.09626
İSTANBUL,Sultangazi,75. YIL,Şehit Savaş Koyun Parkı,28.90089,41.10103
