il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,CEBECİ,Atatürk Bulvarı 2476.Sokak Boş Yeşil  Toplanma Alanı,28.86884,41.10682
İSTANBUL,Sultangazi,CEBECİ,Eyüp Sultan Parkı,28.86537,41.10741
İSTANBUL,Sultangazi,CEBECİ,Şehit Kemal Özevin Parkı,28.8734,41.10889
İSTANBUL,Sultangazi,CEBECİ,İETT Garajı,28.8772,41.10947
İSTANBUL,Sultangazi,CEBECİ,Hüseyin Çakır Parkı Toplanma Alanı,28.86595,41.10958
İSTANBUL,Sultangazi,CEBECİ,Cebeci Sosyal Tesisleri Parkı,28.87221,41.1098
İSTANBUL,Sultangazi,CEBECİ,Halime Çavuş Parkı,28.86721,41.11054
İSTANBUL,Sultangazi,CEBECİ,S.Caddesi Parkı Toplanma Alanı,28.86573,41.11143
İSTANBUL,Sultangazi,CEBECİ,Şehit Hacı Alkan Parkı,28.86401,41.11256
İSTANBUL,Sultangazi,CEBECİ,Şehit Polis Engin Açıkgöz Parkı,28.87073,41.11303
İSTANBUL,Sultangazi,CEBECİ,Çanakkale Parkı Toplanma Alanı,28.85984,41.11335
İSTANBUL,Sultangazi,CEBECİ,Veysel Karani Camii ve 2531.Sokak Toplanma Alanı,28.86654,41.1138
İSTANBUL,Sultangazi,CEBECİ,Veysel Karani Cami Önü Yeşil Alanı,28.86752,41.11381
İSTANBUL,Sultangazi,CEBECİ,Şehit Hacı Balkan Parkı,28.8634,41.11418
İSTANBUL,Sultangazi,CEBECİ,2602 Sokak 2605 Sokak Toplanma Alanı,28.85518,41.11544
İSTANBUL,Sultangazi,CEBECİ,İslambey Parkı,28.8789,41.12276
İSTANBUL,Sultangazi,CEBECİ,Şehit Sadık Çelik Parkı,28.86235,41.10472
