il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,ESENTEPE,Sanko Sanayi Sitesi Yaşil Alan,28.8819,41.0922
İSTANBUL,Sultangazi,ESENTEPE,Hoca Ahmet Yesevi Caddesi 2950 Sokak Yeşil Bant,28.87965,41.0943
İSTANBUL,Sultangazi,ESENTEPE,Avizeciler Sitesi Girişi 2 Toplanma Alanı,28.88311,41.09461
İSTANBUL,Sultangazi,ESENTEPE,Mavi Marmara Parkı,28.87977,41.09592
İSTANBUL,Sultangazi,ESENTEPE,Ahi Evran Parkı,28.88639,41.0966
İSTANBUL,Sultangazi,ESENTEPE,Şehit Polis Ahmet Yıldırım Parkı,28.88233,41.09687
İSTANBUL,Sultangazi,ESENTEPE,Hoca Ahmet Yesevi Kültür Merkezi Yeşil Alanı,28.87633,41.09759
İSTANBUL,Sultangazi,ESENTEPE,2854 Sokak Karanfil Parkı Toplanma Alanı,28.88391,41.0986
İSTANBUL,Sultangazi,ESENTEPE,Karanfil Parkı,28.88322,41.09887
İSTANBUL,Sultangazi,ESENTEPE,Zaman Parkı,28.88438,41.10022
İSTANBUL,Sultangazi,ESENTEPE,Mehmet Akif Ersoy Parkı,28.8753,41.09925
İSTANBUL,Sultangazi,ESENTEPE,Nene Hatun Parkı,28.88714,41.10096
İSTANBUL,Sultangazi,ESENTEPE,Şehit Eyüp Gönen Parkı,28.87557,41.10097
İSTANBUL,Sultangazi,ESENTEPE,Şehit Latif Aşık Muslu Parkı,28.87711,41.1014
İSTANBUL,Sultangazi,ESENTEPE,Esentepe Sultangazi İlköğretimokulu Toplanma Alanı,28.88006,41.10462
