il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,GAZİ,1365.Sokak Park Toplanma Alanı,28.89757,41.10676
İSTANBUL,Sultangazi,GAZİ,1381.Sokak Parkı Toplanma Alanı,28.89446,41.10223
İSTANBUL,Sultangazi,GAZİ,1411 Sokak Eski Pazar Alanı,28.8937,41.10261
İSTANBUL,Sultangazi,GAZİ,1414 Sokak İle 13843 Sokak Parkı,28.89552,41.10388
İSTANBUL,Sultangazi,GAZİ,1349.Sokak Parkı,28.8998,41.1039
İSTANBUL,Sultangazi,GAZİ,Şehit Piyade Er Zafer Oktay Parkı,28.894,41.10499
İSTANBUL,Sultangazi,GAZİ,Gazi Muhtarlığı Parkı Toplanma Alanı,28.89727,41.10514
İSTANBUL,Sultangazi,GAZİ,Kartal.Sokak Parkı Toplanma Alanı,28.89991,41.10605
İSTANBUL,Sultangazi,GAZİ,Gazipaşa Parkı,28.89228,41.10638
İSTANBUL,Sultangazi,GAZİ,Kadıköy . Sokak Parkı,28.89345,41.10644
