il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,UĞUR MUMCU,Şehit Şehmus Poyraz Parkı,28.86482,41.09454
İSTANBUL,Sultangazi,UĞUR MUMCU,H Caddesi Köşesi Çocuk Parkı,28.87192,41.09744
İSTANBUL,Sultangazi,UĞUR MUMCU,L.Caddesi Parkı Toplanma Alanı,28.86403,41.09804
İSTANBUL,Sultangazi,UĞUR MUMCU,Şehit Piyade Er Bekir Cömert Parkı,28.8748,41.09871
İSTANBUL,Sultangazi,UĞUR MUMCU,Gülistan Parkı,28.87289,41.09881
İSTANBUL,Sultangazi,UĞUR MUMCU,Şehit Polis Metahan Şahbaz Parkı,28.86664,41.10049
İSTANBUL,Sultangazi,UĞUR MUMCU,Muhsin Yazıcıoğlu Parkı,28.86439,41.10207
İSTANBUL,Sultangazi,UĞUR MUMCU,H.A.Y.Caddesi 2347.Sokak 2336.Sokak Parkı Toplanma Alanı,28.87233,41.10244
İSTANBUL,Sultangazi,UĞUR MUMCU,Cebeci Şehir Parkı,28.87531,41.10439
İSTANBUL,Sultangazi,UĞUR MUMCU,H.A.Y.Caddesi 2339 Sokak 2348 Sokak Toplanma Alanı,28.87098,41.10453
İSTANBUL,Sultangazi,UĞUR MUMCU,Şehit Ahmet Tepeli Parkı Toplanma Alanı,28.86546,41.10462
İSTANBUL,Sultangazi,UĞUR MUMCU,Atatürk Bulvarı Meydan Parkı Toplanma Alanı,28.86957,41.10588
İSTANBUL,Sultangazi,UĞUR MUMCU,Belediye Hizmet Meydanı Toplanma Alanı,28.87159,41.10671
İSTANBUL,Sultangazi,UĞUR MUMCU,Zara Ekinli Spor Tesisleri Toplanma Alanı,28.87789,41.107
