il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,YUNUS EMRE,Lütfü Aykaç Parkı,28.89438,41.09177
İSTANBUL,Sultangazi,YUNUS EMRE,Adem Yavuz Caddesi  565/1 Sokak Park,28.89487,41.0929
İSTANBUL,Sultangazi,YUNUS EMRE,1614 Sokak / 1620 Sokak Birleştiği Park,28.89852,41.09305
İSTANBUL,Sultangazi,YUNUS EMRE,Abdulkadir Camii 1620 Sokak Parkı Toplanma Alanı,28.8967,41.09332
İSTANBUL,Sultangazi,YUNUS EMRE,1410/3 Sokak Parkı Toplanma Alanı,28.89168,41.09471
İSTANBUL,Sultangazi,YUNUS EMRE,Gazi Şehir Parkı,28.8994,41.09544
İSTANBUL,Sultangazi,YUNUS EMRE,Gençlik Parkı,28.88952,41.09584
İSTANBUL,Sultangazi,YUNUS EMRE,1397/1 Sokak Parkı Toplanma Alanı,28.89333,41.09644
İSTANBUL,Sultangazi,YUNUS EMRE,Menekşe Parkı,28.89063,41.09714
İSTANBUL,Sultangazi,YUNUS EMRE,1395/1 Sokak Yeşil Alan,28.89607,41.09766
İSTANBUL,Sultangazi,YUNUS EMRE,Osman Gazi Parkı,28.89125,41.09792
İSTANBUL,Sultangazi,YUNUS EMRE,Aşık veysel Parkı,28.89043,41.09894
İSTANBUL,Sultangazi,YUNUS EMRE,Pir Sultan Abdal Parkı,28.89499,41.09896
İSTANBUL,Sultangazi,YUNUS EMRE,Veysel Sacıhan İmam Hatip Ortaokulu Bahçesi,28.89926,41.09918
İSTANBUL,Sultangazi,YUNUS EMRE,Mehmetcik Parkı,28.89245,41.09926
İSTANBUL,Sultangazi,YUNUS EMRE,Şair Cahit Zarifoğlu Parkı,28.89863,41.09987
İSTANBUL,Sultangazi,YUNUS EMRE,Çınar Parkı,28.89554,41.10004
İSTANBUL,Sultangazi,YUNUS EMRE,Şehit Vedat Bağcerci Ortaokulu Yunus Emre 1383.Sokak,28.89333,41.1001
İSTANBUL,Sultangazi,YUNUS EMRE,Gazi Mahallesi 1389.Sokak Huzur Parkı Toplanma Alanı,28.89047,41.10008
İSTANBUL,Sultangazi,YUNUS EMRE,Ozanlar Parkı,28.89105,41.10039
İSTANBUL,Sultangazi,YUNUS EMRE,1386/1 Sokak Parkı Toplanma Alanı,28.89808,41.10095
