il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Hüseyin Altın Parkı 1296.Sokak Toplanma Alanı,28.90632,41.09822
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Neşe Parkı 1265 Sokak  Toplanma Alanı,28.91012,41.09849
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Spor Parkı,28.90759,41.09909
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Şht. Teğmen Ali Yılmaz İlkokulu Bahçesi,28.91249,41.09995
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,1427/2. Sokak Çocuk Parkı,28.91278,41.10051
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Zübeyde Hanım İlköğretim Okulu Bahçesi,28.90883,41.1006
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Sağlık Parkı Toplanma Alanı,28.91436,41.10078
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Zübeyde Hanım Parkı,28.90522,41.10135
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,1481 Sokak. Millet Parkı Toplanma Alanı,28.91703,41.10171
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,1427/ 2 Sokak Parkı Toplanma Alanı,28.91168,41.10112
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Erguvan Parkı,28.90941,41.1023
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,Sultangazi Hacı Bektaşı Veli Kent Ormanı,28.91322,41.10926
İSTANBUL,Sultangazi,ZÜBEYDE HANIM,S.Gazi Mimar Sinan Kent Ormanı,28.90028,41.1Şile
