il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Tuzla ,AYDINLI,Aydınlı Merkez Parkı,29.32886,40.86928
İSTANBUL,Tuzla ,AYDINLI,Aydınlı Parkı,29.32377,40.86466
İSTANBUL,Tuzla ,AYDINLI,Aydınlı Pazar Alanı,29.32425,40.87103
İSTANBUL,Tuzla ,AYDINLI,Gürpınar Caddesi Parkı,29.33157,40.86828
İSTANBUL,Tuzla ,AYDINLI,Kardeşler Sokak Parkı,29.32189,40.87908
İSTANBUL,Tuzla ,AYDINLI,Konaşlı Parkı,29.33473,40.88492
İSTANBUL,Tuzla ,AYDINLI,Necip Fazıl Kısa Kürek Parkı,29.34029,40.86534
İSTANBUL,Tuzla ,AYDINLI,Okan Sokak Parkı,29.33685,40.86214
İSTANBUL,Tuzla ,AYDINLI,Sedef Parkı,29.33436,40.87567
İSTANBUL,Tuzla ,AYDINLI,Şehit J. Er Bekir Demir Parkı,29.32624,40.8678
İSTANBUL,Tuzla ,AYDINLI,Kamping Alanı,29.33124,40.87859
İSTANBUL,Tuzla ,AYDINLI,Oruç Reis İlköğretim Okulu Bahçesi,29.33893,40.86639
İSTANBUL,Tuzla ,AYDINLI,Osmangazi İlköğretim Okulu Bahçesi,29.33036,40.87245
