il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Tuzla ,POSTANE,Cevher Parkı,29.3067,40.82494
İSTANBUL,Tuzla ,POSTANE,Derya Parkı,29.30083,40.82158
İSTANBUL,Tuzla ,POSTANE,Doğan Parkı,29.29938,40.81903
İSTANBUL,Tuzla ,POSTANE,Ertuğrul Gazi Parkı,29.29177,40.81755
İSTANBUL,Tuzla ,POSTANE,Esentepe Parkı,29.29206,40.81702
İSTANBUL,Tuzla ,POSTANE,Gonca Sokak Parkı,29.29098,40.8209
İSTANBUL,Tuzla ,POSTANE,Gölboyu Parkı,29.28937,40.82235
İSTANBUL,Tuzla ,POSTANE,Kardelen Parkı,29.28844,40.8186
İSTANBUL,Tuzla ,POSTANE,Krizantem Parkı,29.28465,40.81915
İSTANBUL,Tuzla ,POSTANE,Okul Dinlenme Alanı,29.30729,40.82074
İSTANBUL,Tuzla ,POSTANE,Org. Eşref Bitlis Parkı,29.30905,40.82283
İSTANBUL,Tuzla ,POSTANE,Orhan Gazi Parkı,29.28475,40.82429
İSTANBUL,Tuzla ,POSTANE,Osman Gazi Parkı,29.30109,40.81935
İSTANBUL,Tuzla ,POSTANE,Sumru Parkı,29.28341,40.81572
İSTANBUL,Tuzla ,POSTANE,Sümer Parkı,29.30329,40.82112
İSTANBUL,Tuzla ,POSTANE,Şehit Murat Matuz Parkı,29.28951,40.81986
İSTANBUL,Tuzla ,POSTANE,Yayla Yolu Parkı,29.30418,40.82204
İSTANBUL,Tuzla ,POSTANE,Yıldırım Beyazıd Parkı,29.30881,40.82498
İSTANBUL,Tuzla ,POSTANE,Zabıta Parkı,29.30494,40.82045
İSTANBUL,Tuzla ,POSTANE,Behiye Dr. Nevhir Anadolu Lisesi Bahçesi,29.30231,40.82161
İSTANBUL,Tuzla ,POSTANE,Esentepe Parkı,29.28653,40.81581
