il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Tuzla ,YAYLA,Anadolu Parkı,29.30128,40.83272
İSTANBUL,Tuzla ,YAYLA,Hüseyin Çakır Parkı,29.30923,40.83014
İSTANBUL,Tuzla ,YAYLA,İBB-Torosevleri Parkı,29.31378,40.83416
İSTANBUL,Tuzla ,YAYLA,Mavi Evler Parkı,29.29955,40.83036
İSTANBUL,Tuzla ,YAYLA,Mehmet Akif Ersoy Parkı,29.30439,40.83548
İSTANBUL,Tuzla ,YAYLA,Şehit J.Er Necmi Yıldırım Parkı,29.3024,40.83342
İSTANBUL,Tuzla ,YAYLA,Yaşam Sitesi Parkı (7969) Parsel,29.30561,40.83468
İSTANBUL,Tuzla ,YAYLA,Yavuz Selim Parkı,29.30772,40.83679
İSTANBUL,Tuzla ,YAYLA,Yayla Çocuk Parkı,29.31238,40.83021
İSTANBUL,Tuzla ,YAYLA,Zeytinlik Parkı ve Çevresi,29.30321,40.82621
İSTANBUL,Tuzla ,YAYLA,Hüseyın Çakır Parkı Karşısı,29.30892,40.8306
