il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Tuzla ,İSTASYON,Akşemseddin Parkı,29.31435,40.82527
İSTANBUL,Tuzla ,İSTASYON,Batakçalı Parkı,29.3226,40.83043
İSTANBUL,Tuzla ,İSTASYON,Borsa Kent Parkı,29.31315,40.82767
İSTANBUL,Tuzla ,İSTASYON,Çınarlı Bahçe Parkı,29.31594,40.83135
İSTANBUL,Tuzla ,İSTASYON,Eksen Parkı,29.31972,40.82697
İSTANBUL,Tuzla ,İSTASYON,Galatasaraylılar Parkı,29.31971,40.8232
İSTANBUL,Tuzla ,İSTASYON,Hayat Parkı,29.31544,40.82782
İSTANBUL,Tuzla ,İSTASYON,İBB-Çiçekçiler Parkı,29.31693,40.82781
İSTANBUL,Tuzla ,İSTASYON,Mareşal Fevzi Çakmak Parkı,29.32439,40.82509
İSTANBUL,Tuzla ,İSTASYON,Tıp Kent Parkı,29.32249,40.8241
İSTANBUL,Tuzla ,İSTASYON,Uğurkent Parkı,29.31625,40.83219
İSTANBUL,Tuzla ,İSTASYON,Yunus Emre Parkı,29.32317,40.82703
