il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çatalca ,FERHATPAŞA,Neşet Ertaş Parkı,28.46585,41.13472
İSTANBUL,Çatalca ,FERHATPAŞA,Ulusal Egemenlik Parkı,28.46405,41.1378
İSTANBUL,Çatalca ,FERHATPAŞA,Arif Nihat Asya Parkı,28.46976,41.1378
İSTANBUL,Çatalca ,FERHATPAŞA,Tayfun Topçu Parkı,28.46785,41.14277
İSTANBUL,Çatalca ,FERHATPAŞA,Erguvan Parkı,28.46929,41.12976
İSTANBUL,Çatalca ,FERHATPAŞA,Hanımeli Parkı,28.46159,41.14076
İSTANBUL,Çatalca ,FERHATPAŞA,Hayri Uğur Sokak Parkı,28.46468,41.14315
İSTANBUL,Çatalca ,FERHATPAŞA,Eşekçi Deresi,28.46818,41.13977
İSTANBUL,Çatalca ,FERHATPAŞA,643 Ada 4 Parsel,28.47589,41.13185
İSTANBUL,Çatalca ,FERHATPAŞA,658 Ada 1 Parsel,28.4722,41.13851
İSTANBUL,Çatalca ,FERHATPAŞA,Çatalca İstasyonu,28.48116,41.15015
İSTANBUL,Çatalca ,FERHATPAŞA,Kiptaş Orta Bölge,28.45866,41.13131
İSTANBUL,Çatalca ,FERHATPAŞA,Erguvan Kent,28.45701,41.1383
İSTANBUL,Çatalca ,FERHATPAŞA,451 Ada 1 Parsel,28.47085,41.13815
İSTANBUL,Çatalca ,FERHATPAŞA,452 Ada 1 Parsel,28.47039,41.13773
İSTANBUL,Çatalca ,FERHATPAŞA,Kiptaş AVM Otopark ve Cami Bahçesi,28.46135,41.12953
İSTANBUL,Çatalca ,FERHATPAŞA,Ferhatpaşa Okul Bahçesi ve Sahası,28.47924,41.13206
İSTANBUL,Çatalca ,FERHATPAŞA,Kiptaş Blokları Okulu,28.4554,41.Eminönü 6
İSTANBUL,Çatalca ,FERHATPAŞA,Millet Bahçesi Yapılacak Alan,28.46319,41.14476
