il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çatalca ,KALEİÇİ,Kurban Alanı,28.45657,41.14863
İSTANBUL,Çatalca ,KALEİÇİ,Mehmetçik Meydanı,28.45997,41.14565
İSTANBUL,Çatalca ,KALEİÇİ,Güreş Festival Alanı,28.45436,41.14892
İSTANBUL,Çatalca ,KALEİÇİ,Kaleiçi Mahallesi 1-Ada-1-Parsel,28.44018,41.16086
İSTANBUL,Çatalca ,KALEİÇİ,Atatürk Parkı,28.4574,41.1428
İSTANBUL,Çatalca ,KALEİÇİ,75. Yıl Parkı,28.45392,41.15203
İSTANBUL,Çatalca ,KALEİÇİ,Çınar Çocuk Parkı,28.44921,41.1494
İSTANBUL,Çatalca ,KALEİÇİ,Sanayi Yanı Park,28.46236,41.1455
İSTANBUL,Çatalca ,KALEİÇİ,Meral Aydoğan Parkı,28.45144,41.14844
İSTANBUL,Çatalca ,KALEİÇİ,Mehmetcik parkı,28.4608,41.14643
İSTANBUL,Çatalca ,KALEİÇİ,Kaleiçi Sosyal Tesisleri,28.4546,41.14535
