il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Çekmeköy,ALEMDAĞ,Alemdağ İlkokulu,29.23544,41.05076
İSTANBUL,Çekmeköy,ALEMDAĞ,"Hüsnü Özyeğin Vakfı Alemdağ Tunç Çapa
Anadolu Lisesi",29.23732,41.05183
İSTANBUL,Çekmeköy,ALEMDAĞ,142. Sokak Parkı,29.23613,41.0523
İSTANBUL,Çekmeköy,ALEMDAĞ,Erguvan Parkı,29.23601,41.04202
İSTANBUL,Çekmeköy,ALEMDAĞ,İspinoz Parkı,29.23309,41.04131
İSTANBUL,Çekmeköy,ALEMDAĞ,Mehmet Akif Ersoy Parkı,29.23346,41.03936
İSTANBUL,Çekmeköy,ALEMDAĞ,Üsküdar Parkı,29.23963,41.0482
İSTANBUL,Çekmeköy,ALEMDAĞ,Yunus Erenoğlu Parkı,29.23703,41.05005
İSTANBUL,Çekmeköy,ALEMDAĞ,Alemdağ Mahallesi Yeşil Alan,29.2382,41.05998
İSTANBUL,Çekmeköy,ALEMDAĞ,Alemdağ Stadı,29.23398,41.04755
